wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy Prediction,Accuracy Prob,fMeasure Prediction,fMeasure Prob,gMean Prediction,gMean Prob,Function to be selected
2.0,3.0,0,10.0,3.0,0.0,10.0,0.0,1.0,0.0,16.0,1.0,0.0,0.9285709999999999,0.666667,0.0,0.0,6.5,1.0,0.5,False,False,0.0,False,0.2,False,0.2,GMean
4.0,1.0,0,7.0,10.0,0.0,7.0,0.0,2.0,0.611111,55.0,1.0,0.0,0.0,0.333333,0.0,0.0,11.25,1.0,0.5,True,False,0.4,True,0.7,True,0.6,FMeasure
3.0,1.0,0,7.0,25.0,3.0,1.0,6.0,3.0,2.0,172.0,0.0,0.0,0.0,0.555556,0.0,0.0,56.333332999999996,2.0,1.0,True,True,0.7,True,0.9,True,0.9,GMean
4.0,1.0,0,4.0,4.0,6.0,3.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,1.0,1.0,False,False,0.1,False,0.1,False,0.3,GMean
7.0,1.0,0,18.0,14.0,21.0,6.0,12.0,6.0,2.0,34.0,0.0,0.0,0.0,0.14285699999999998,0.0,0.0,3.857143,1.0,0.8571,False,True,0.7,True,0.6,True,0.6,GMean
1.0,4.0,0,7.0,2.0,0.0,7.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,False,False,0.1,False,0.0,False,0.0,GMean
4.0,1.0,0,10.0,9.0,2.0,9.0,2.0,2.0,0.666667,114.0,0.0,0.0,0.0,0.5,0.0,0.0,25.75,1.0,0.25,True,False,0.5,True,0.7,True,0.7,FMeasure
13.0,6.0,0,10.0,75.0,74.0,6.0,10.0,2.0,0.785714,390.0,1.0,1.0,0.972158,0.240385,0.0,0.0,28.461538,2.0,1.0,True,True,0.9,True,0.9,True,1.0,GMean
1.0,1.0,0,3.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,False,False,0.0,False,0.0,False,0.0,GMean
2.0,3.0,0,5.0,3.0,0.0,5.0,0.0,1.0,0.0,16.0,1.0,0.0,0.9285709999999999,0.666667,0.0,0.0,6.5,1.0,0.5,False,False,0.0,False,0.0,False,0.0,GMean
32.0,6.0,0,33.0,167.0,350.0,22.0,33.0,2.0,0.8199790000000001,2353.0,0.967742,1.0,0.9330450000000001,0.267857,0.0,0.0,71.5625,2.0,1.1563,True,True,0.9,True,1.0,True,1.0,GMean
2.0,1.0,0,4.0,20.0,1.0,1.0,3.0,2.0,2.0,72.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,2.0,1.0,False,False,0.1,False,0.1,False,0.1,GMean
2.0,3.0,0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,16.0,1.0,0.0,0.9285709999999999,0.666667,0.0,0.0,6.5,1.0,0.5,False,False,0.0,False,0.0,False,0.0,GMean
2.0,3.0,0,8.0,3.0,0.0,8.0,0.0,1.0,0.0,16.0,1.0,0.0,0.9285709999999999,0.666667,0.0,0.0,6.5,1.0,0.5,False,False,0.0,False,0.0,False,0.0,GMean
7.0,6.0,0,9.0,50.0,9.0,3.0,9.0,2.0,0.608333,693.0,0.95,2.0,0.9858819999999999,0.333333,0.0,0.0,95.14285699999999,1.0,0.8571,True,False,0.5,False,0.4,True,0.7,GMean
2.0,1.0,0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,1.0,1.0,False,False,0.1,False,0.0,False,0.0,GMean
3.0,1.0,0,6.0,16.0,3.0,1.0,5.0,3.0,2.0,168.0,0.0,0.0,0.0,0.666667,0.0,0.0,55.0,1.0,0.6667,False,False,0.2,False,0.2,False,0.0,GMean
4.0,1.0,0,12.0,10.0,0.0,7.0,5.0,4.0,0.0,151.0,1.0,1.0,0.0,0.75,0.0,0.0,36.25,1.0,0.75,False,False,0.0,False,0.4,False,0.5,GMean
1.0,2.0,0,3.0,2.0,0.0,1.0,2.0,1.0,2.0,8.0,0.0,0.0,1.0,1.0,1.0,3.0,7.0,0.0,0.0,False,False,0.1,False,0.2,False,0.1,GMean
1.0,1.0,0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,False,False,0.0,False,0.0,False,0.0,GMean
6.0,6.0,0,7.0,49.0,11.0,3.0,7.0,1.0,0.626667,540.0,1.0,1.0,0.988208,0.4,0.0,0.0,86.5,8.0,2.0,True,True,1.0,True,0.9,True,1.0,GMean
6.0,2.0,0,7.0,9.0,7.0,7.0,0.0,4.0,0.8,92.0,0.4,4.0,0.733333,0.4,1.0,1.0,13.5,3.0,1.0,False,False,0.2,False,0.4,False,0.2,GMean
13.0,1.0,0,23.0,35.0,0.0,6.0,17.0,12.0,0.0,215.0,0.0,1.0,0.0,0.338462,0.0,0.0,15.461538000000001,1.0,0.9231,True,False,0.5,False,0.4,True,0.7,GMean
4.899527,1.0,0,10.341133000000001,9.0,0.30547199999999997,9.840422,2.445928,2.178099,0.5811810000000001,111.76303500000002,0.0,0.630997,0.0,0.6382220000000001,0.0,0.0,23.140338,1.752055,0.340553,True,False,0.5,False,0.3,False,0.5,GMean
3.805228,1.994975,0,7.0,7.426067999999999,0.0,4.267329,2.537398,2.795086,0.380945,34.617677,0.010684,0.838957,0.547963,0.435467,0.026166000000000002,2.26372,9.685846000000002,1.782398,0.783997,True,True,0.8,False,0.5,False,0.3,Accuracy
7.479221000000001,6.0,0,8.661538,51.771198,11.105533,3.4137519999999997,6.113356,2.469689,0.612853,580.152736,1.0,1.051448,0.9858819999999999,0.318203,0.0,0.0,66.132239,2.700022,1.0093809999999999,True,True,1.0,True,1.0,True,1.0,GMean
10.738579,5.8120730000000025,0,5.863244,52.898672999999995,45.549976,3.939079,8.735144,2.90298,1.751514,419.80362199999996,0.7779159999999999,0.22502199999999997,0.955731,0.311006,0.0,0.0,48.956876,2.0,1.0,True,True,1.0,True,1.0,True,1.0,GMean
5.1788680000000005,4.47882,0,5.572648,49.621956,10.860386,1.8068419999999998,4.10548,3.037548,1.5282850000000001,476.757091,0.734097,1.873102,0.403354,0.409069,0.0,0.0,82.123475,4.145706,1.554253,True,True,0.7,True,0.7,True,0.9,GMean
4.0,1.0,0,7.87628,9.123557,1.488499,7.8464649999999985,0.751616,2.0,0.6516569999999999,107.317921,0.956297,0.0,0.0,0.483654,0.0,0.0,17.451651000000002,1.0,0.484525,True,True,0.9,True,0.9,True,0.7,GMean
3.552808,1.0,0,7.0,14.364688000000001,0.37203,6.124299,1.3337299999999999,2.783593,0.779339,74.55026,0.264864,0.0,0.0,0.546212,0.0,0.0,15.042160999999998,1.274774,0.678144,True,True,0.8,True,0.6,False,0.4,GMean
4.994408999999999,1.0,0,21.447782999999998,25.390437,0.142213,8.409932000000001,13.319694,3.5763059999999998,0.638548,152.24091,0.0,0.712752,0.0,0.376886,0.0,0.0,18.886841,1.0,0.5196149999999999,True,True,0.7,True,0.6,True,1.0,GMean
9.716656,6.0,0,6.564541,56.07336700000001,73.49639599999998,5.8768709999999995,8.201260000000001,1.732102,0.643255,464.72909599999997,1.0,1.771693,0.979773,0.330154,0.0,0.0,67.814966,5.9405,1.55703,True,True,1.0,True,1.0,True,0.9,GMean
16.549801000000002,3.220167,0,7.232127,64.95108,85.823072,16.912201,27.904643,3.334382,1.799032,1195.518155,0.35037399999999996,0.696633,0.872027,0.579417,0.0,0.0,75.647183,2.0,1.0223309999999999,True,True,0.8,True,1.0,True,1.0,GMean
6.8968490000000005,5.503394,0,7.3353009999999985,46.250648999999996,9.488843,1.018508,4.102119,2.460644,1.9030580000000001,572.148725,0.133917,1.805129,0.783405,0.438587,0.0,0.0,91.20478,1.682843,0.9267120000000001,True,True,1.0,True,0.7,True,0.8,GMean
6.60619,6.0,0,6.630248,50.891984,11.0,3.0,6.555401,1.0,0.626927,572.944681,1.0,1.81577,0.9878459999999999,0.369773,0.0,0.0,83.627574,8.0,1.900525,True,True,1.0,True,1.0,True,1.0,GMean
5.0853839999999995,1.0,0,17.097026,27.86079,0.830407,6.5863320000000005,2.300235,8.297014,0.581196,209.773,0.0,0.429911,0.0,0.39664699999999997,0.0,0.0,20.208372,1.0,0.762834,True,False,0.3,False,0.3,True,0.6,GMean
