dit,cbo,lcom,ce,lcom3,loc,moa,ic,cbm,max_cc,buggy
2,7,1,7,1,110,0,0,0,1,FALSE
2,14,91,14,2,135,0,0,0,1,FALSE
2,22,13,21,0.6,157,0,1,3,4,FALSE
2,22,13,21,0.6,157,0,1,3,4,FALSE
2,22,13,21,0.6,157,0,1,3,4,FALSE
1,7,31,7,0.775,285,0,0,0,7,FALSE
1,9.74068,128.355023,3,0.820973,275.080621,1.550043,1,1,7,TRUE
1,7,31,7,0.775,297,0,0,0,7,FALSE
1,7,31,7,0.775,297,0,0,0,7,FALSE
1.873177,24,11.351007,23.862029,0.916311,295.19026,1,0.113396,2.087125,3.695841,TRUE
2,11,1,11,1,243,1,2,2,4,FALSE
1,7,0,1,0.85,190,0,0,0,5,FALSE
1,13,13,13,1,226,1,0,0,1,FALSE
1,13,13,13,1,226,1,0,0,1,FALSE
1,19,18,7,0.727273,255,0,0,0,5,TRUE
1,4,0,3,0,78,0,0,0,3,FALSE
1,4,0,3,0,78,0,0,0,3,FALSE
1,4,0,3,0,78,0,0,0,3,FALSE
1,5,0,1,0.85,190,0,0,0,5,FALSE
1,13,13,13,1,226,1,0,0,1,FALSE
1,9,4,8,1.308642,300,2,0,0,5,TRUE
1,10,0,7,0.652778,298,1,0,0,6,FALSE
1,14,0,3,0.45,141,2,0,0,2,FALSE
1.444033,18.398594,40.964593,21.12149,1.023273,375.079378,1,0.733583,2.312486,4.884178,TRUE
1,24,13,24,1.075758,337,1,0,0,3,TRUE
1,24,13,24,1.075758,337,1,0,0,3,FALSE
1,18,18,7,0.727273,255,0,0,0,5,FALSE
1.946781,8.246397,64.64915,5.856688,1.375754,144.543311,0.010901,0.097204,0.806554,5.692989,TRUE
1,5,36,1,0.727273,342,0,0,0,4,FALSE
1,5,36,1,0.727273,342,0,0,0,4,FALSE
2,21.288879,19.018449,8.390516,1.025777,108.587255,0.244754,0.100403,0.383174,3,TRUE
1,6,36,1,0.727273,342,0,0,0,4,FALSE
1.644552,6.744027,17.117508,5.518564,2,25.792618,0,0,0,1,TRUE
1.214555,17.569415,2.247929,18.61427,1.189958,288.023948,1,0.73085,0.666227,5,TRUE
1,20,16,2,0.525,112,1,0,0,2,FALSE
1,9,3,8,2,75,0,0,0,1,FALSE
1,12,4,12,1.083333,271,0,0,0,9,FALSE
1,12,4,12,1.083333,271,0,0,0,9,FALSE
2,18.97843,0.578346,12.024075,1.0503,254.548077,1,1,1.814597,6.84436,TRUE
2,9.557025,71.797462,9.776393,2,86.842668,0,0.382822,2.811076,1,TRUE
1,5,10,5,2,163,0,0,0,3,FALSE
1,5,10,5,2,163,0,0,0,3,FALSE
1,22,3,7,0.533333,186,0,0,0,4,FALSE
1.092191,20.20668,3.623582,15.784932,1.177743,278.666178,1,0.827044,0.835038,5,TRUE
1,17,18,7,0.727273,253,0,0,0,5,FALSE
1,20.307447,33.979945,21.788299,1.076247,349.653103,1,0,0,3,TRUE
3,3,1,1,1,15,0,0,0,1,FALSE
3,3,1,1,1,15,0,0,0,1,FALSE
3,3,1,1,1,15,0,0,0,1,FALSE
1,9,4,8,1.307692,299,1,0,0,5,TRUE
2,23,6,22,0.761905,413,1,1,3,6,TRUE
2,23,6,22,0.761905,413,1,1,3,6,FALSE
2,23,6,22,0.761905,413,1,1,3,6,FALSE
2,20,18,19,0.785714,360,0,1,3,6,FALSE
2,20,18,19,0.785714,360,0,1,3,6,FALSE
2,20,18,19,0.785714,360,0,1,3,6,FALSE
1,2,3,0,2,90,0,0,0,6,FALSE
1,2,3,0,2,90,0,0,0,6,FALSE
1,2,3,0,2,90,0,0,0,6,FALSE
2,11.611484,74.44416,9.144454,2,83.799067,0,0.751505,1.12316,1,TRUE
2,8,3,7,2,103,0,0,0,6,FALSE
1,21,3,7,0.533333,187,0,0,0,4,FALSE
1,8,0,5,0.651515,234,1,0,0,3,TRUE
2,24,0,23,0.64,291,1,1,3,5,TRUE
2,24,0,23,0.64,291,1,1,3,5,FALSE
2,24,0,23,0.64,291,1,1,3,5,FALSE
2,14,0,12,0.5,155,0,1,1,2,FALSE
2,14,0,12,0.5,155,0,1,1,2,FALSE
1,16,10,1,2,89,0,0,0,3,FALSE
1,25,3,9,0.666667,261,1,0,0,4,FALSE
1,9.72179,23.366542,1.471611,0.783007,225.383901,0.536582,0.898134,0.062313,6.046171,TRUE
1,0,0,0,2,77,0,0,0,0,FALSE
1,2.929554,31.765316,1,0.745134,118.898433,1,1,1,7,TRUE
1,9,66,9,2,156,0,1,1,1,FALSE
2,18,7,17,0.666667,216,0,1,3,5,FALSE
2,18,7,17,0.666667,216,0,1,3,5,FALSE
2,18,7,17,0.666667,216,0,1,3,5,FALSE
1.318474,20.411733,7.372861,18.887804,0.775876,378.737532,0.18423,0.680292,1.350922,6.63063,TRUE
1,6,118,3,0.810526,264,1,1,1,7,FALSE
1,6,118,3,0.810526,264,1,1,1,7,FALSE
1,6,118,3,0.810526,264,1,1,1,7,TRUE
1,12,21,12,2,337,0,0,0,5,FALSE
1,7,0,3,0.45,141,2,0,0,2,FALSE
1,18,4,17,0.666667,221,1,0,0,4,FALSE
1,18,4,17,0.666667,221,1,0,0,4,FALSE
2,12,2,12,1,179,3,1,1,4,FALSE
1,17.14533,61.983039,14.919114,0.946104,275.905065,1,0.621148,0.568609,6.240196,TRUE
2,5,6,5,1.333333,37,0,1,1,1,FALSE
1,16,8,15,1.230769,361,0,0,0,8,TRUE
1,16,8,15,1.232759,364,0,0,0,8,FALSE
1,12.241636,7.560164,12.804642,1.258976,311.746495,1.087804,0,0,7.84373,TRUE
1,18,4,17,0.666667,219,1,0,0,4,FALSE
2,16.203453,0.621509,11.484474,1.022704,263.869339,1,1,2.035127,5.674928,TRUE
1.376996,10.277856,2.709088,9.040865,1.221217,249.702494,1,0.979615,0.38152,6.931532,TRUE
1,18,16,2,0.525,112,1,0,0,2,FALSE
1,18,16,2,0.525,112,1,0,0,2,FALSE
1.434129,2.275268,2.781839,0.128252,1.79502,38.7305,0,0.506576,0.067578,0.643593,TRUE
2,7,2,7,1.142857,91,1,1,1,1,FALSE
1,9,0,0,0.727273,157,0,0,0,2,FALSE
1,21.937988,40.998368,17.94346,1.076686,338.680171,1,0,0,3,TRUE
1,20,13,20,1.16,274,1,0,0,2,FALSE
2,10.128149,2,10.853984,1.164906,247.777321,1,1,1,7.725969,TRUE
1.900679,20.919126,27.997922,17.102119,1.054979,384.050835,1,0.662065,0.498605,3.951472,TRUE
1,16.138686,9.040156,15.619023,0.78751,367.878082,1.746286,0,0,6.322957,TRUE
1,11,37,10,0.555556,449,2,0,0,9,FALSE
1,7,6,6,1.083333,148,3,0,0,3,FALSE
1,7,6,6,1.0625,134,3,0,0,3,FALSE
1,7,6,6,1.0625,134,3,0,0,3,FALSE
1,5,0,4,0.25,115,0,0,0,4,FALSE
2,21,0,20,0.64,274,1,1,3,5,TRUE
2,21,0,20,0.64,274,1,1,3,5,FALSE
2,21,0,20,0.64,274,1,1,3,5,FALSE
2,11,2,11,1.214286,247,1,1,1,8,TRUE
1,11,37,10,0.555556,447,2,0,0,9,FALSE
1,11,37,10,0.555556,447,2,0,0,9,FALSE
1,16,78,7,2,13,0,0,0,1,FALSE
1,20,41,19,1.090909,298,1,0,0,3,FALSE
2,12,66,12,2,110,0,0,0,1,TRUE
2,12,66,12,2,110,0,0,0,1,TRUE
1,6,26,5,0.6875,200,2,0,0,3,FALSE
1,6,26,5,0.6875,200,2,0,0,3,FALSE
1,6,26,5,0.6875,200,2,0,0,3,FALSE
1.841248,18.109586,3.043813,20.905611,1.294225,291.898745,1,0.091961,0.33941,5,TRUE
1,16.773705,9.18668,15.958671,1.222794,422.181206,1.368787,0,0,5.127517,TRUE
2,7,1,1,2,16,0,0,0,1,FALSE
2,7,1,1,2,16,0,0,0,1,FALSE
2,7,1,1,2,16,0,0,0,1,FALSE
2,8,3,7,2,103,0,0,0,5,FALSE
1.793489,8.746368,17.815557,2.678982,0.817695,76.283444,0,0,0,2.305719,TRUE
1,10,4,9,1.259259,172,0,0,0,2,FALSE
1,12,8,11,1.1875,173,0,0,0,2,FALSE
1,17,53,2,0.875,211,0,1,1,7,FALSE
1,17,53,2,0.875,211,0,1,1,7,FALSE
1.321602,6.087246,4.079723,4.844888,0.795097,67.533664,0.121163,0,0,1.810575,TRUE
2,7,1,7,1,35,0,0,0,1,FALSE
2,7,1,7,1,35,0,0,0,1,FALSE
2,7,1,7,1,35,0,0,0,1,FALSE
1.440747,14.014794,3.65452,8.868601,0.809572,256.772751,0.264683,0.413018,0.778539,5.256219,TRUE
1,14.920669,10.008443,13.704346,1.144419,413.121205,0.072301,0,0,6.470986,TRUE
1,11.357049,7.473661,6.939953,0.733392,254.051752,0.429911,0,0,4.861467,TRUE
2,10,2,10,1.148746,213.010241,1,1,1,6.694335,TRUE
1.010373,9.495262,64.149283,3.516287,1.69519,123.709472,0.642385,0.937348,0.677748,2.31593,TRUE
1.504334,22.891856,7.584756,21.16562,0.777839,434.548205,1,0.022872,0.152976,5.039759,TRUE
1,6,0,2,0,44,0,0,0,2,FALSE
1.154146,8.857032,0.684399,9.146782,0.901818,215.31766,1,0.515063,0.222687,5.859377,TRUE
1,10,83,2,0.904762,129,2,1,1,7,TRUE
2,5.804462,1.650671,5.17832,1.573581,49.024257,0.960649,0.955758,0.359966,1,TRUE
2,8,1,8,1.142857,57,0,0,0,1,FALSE
1.238113,8.443263,11.958821,8.643764,1.219737,76.039749,0,0,0,2.380352,TRUE
1,15,6,1,2,4,0,0,0,1,FALSE
2,12,7,12,1.122222,302,1,1,1,2,FALSE
2,9,78,9,2,57,0,1,3,1,FALSE
2,9,78,9,2,57,0,1,3,1,FALSE
2,8,78,8,2,49,0,1,3,1,FALSE
2,8,78,8,2,49,0,1,3,1,FALSE
2,8,78,8,2,49,0,1,3,1,FALSE
2,8,78,8,2,49,0,1,3,1,FALSE
2,8,78,8,2,49,0,1,3,1,FALSE
2,8,78,8,2,49,0,1,3,1,FALSE
2,8,78,8,2,49,0,1,3,1,FALSE
2,8,78,8,2,49,0,1,3,1,FALSE
2,8,78,8,2,49,0,1,3,1,FALSE
2,8,78,8,2,49,0,1,3,1,TRUE
1,18,51,17,1.076923,350,1,0,0,3,TRUE
1,18,51,17,1.076923,350,1,0,0,3,TRUE
1,18,51,17,1.076923,350,1,0,0,3,TRUE
1,18,51,17,1.076923,350,1,0,0,3,TRUE
1,18,51,17,1.076923,350,1,0,0,3,TRUE
1,11,78,2,2,13,0,0,0,1,FALSE
1.033199,9.481703,2.724964,8.879861,1.291882,272.041286,1.639859,0.600124,0.889283,5.528196,TRUE
2,9,78,9,2,81,0,1,3,1,TRUE
2,9,78,9,2,81,0,1,3,1,TRUE
2,9,78,9,2,81,0,1,3,1,FALSE
2,9,78,9,2,81,0,1,3,1,TRUE
2,9,78,9,2,81,0,1,3,1,TRUE
2,8,1,8,1,56,0,0,0,1,FALSE
2,8,1,8,1,56,0,0,0,1,FALSE
2,8,1,8,1,56,0,0,0,1,FALSE
2,9,78,9,2,65,0,1,3,1,FALSE
2,8.5775,78,8.886008,2,56.068069,0,1,3,1,TRUE
2,8,1,8,1,59,0,0,0,1,FALSE
2,8,1,8,1,59,0,0,0,1,FALSE
2,7,1,7,1,46,0,0,0,1,FALSE
2,7,1,7,1,46,0,0,0,1,FALSE
2,7,1,7,1,46,0,0,0,1,FALSE
1,7,0,4,0.333333,115,0,0,0,4,FALSE
1,18.784214,60.925757,6.464749,0.750919,242.025078,0,0.384075,0.259685,5.439465,TRUE
2,8.248641,78,8.284991,2,69.052963,0,1,3,1,TRUE
1,13,10,1,2,89,0,0,0,3,FALSE
1,9,3,8,2,138,0,0,0,5,FALSE
2,5.633076,5.663231,5.607249,2,38.877133,0,0.868639,0.143244,1,TRUE
2,2,11,1,0.666667,81,2,1,1,3,FALSE
2,2,11,1,0.666667,81,2,1,1,3,FALSE
2,2,11,1,0.666667,81,2,1,1,3,FALSE
1,6,0,0,0.59375,131,0,1,1,8,FALSE
1,10,4,10,1.242424,223,0,0,0,3,FALSE
1.488217,10.834489,62.380305,6.064264,1.610789,133.747783,0.590512,0.514378,0.192534,1.394759,TRUE
2,4.88196,4.420203,4.340416,1.582972,34.508714,0,0.823458,0.225318,1,TRUE
1,8,5,3,0.7,177,1,0,0,2,FALSE
1,16.409108,44.610603,16.099358,1.228265,354.432522,0.187259,0,0,4.142518,TRUE
2,13,2,13,0.75,163,1,1,1,1,FALSE
1,17.63196,22.425221,16.321249,1.196771,350.834044,0.716138,0,0,5.793412,TRUE
1,17.449355,50.610505,16.443788,0.747178,359.864646,1.432992,0,0,3,TRUE
1,14,24,13,1.12381,448,1,0,0,5,TRUE
1,0,0,0,2,38,0,0,0,0,TRUE
1.438724,1.652341,0.437651,3.035043,1.650224,38.751346,0,0.182602,0.161884,0.308906,TRUE
1,8,78,5,2,13,0,0,0,1,FALSE
1,10,9,6,0.2,226,0,0,0,4,FALSE
1,3,3,2,2,66,0,0,0,2,FALSE
1,3,26,0,0.75,134,0,0,0,1,FALSE
1,3,26,0,0.75,134,0,0,0,1,FALSE
1,3,26,0,0.75,134,0,0,0,1,FALSE
1,0,0,0,2,36.604874,0,0,0,0,TRUE
2,4,3,4,1.5,39,0,1,1,1,TRUE
2,4,3,4,1.5,39,0,1,1,1,FALSE
1,0,0,0,2,35.523093,0,0,0,0,TRUE
1.574086,8.641503,55.748511,4.526902,2,36.972375,0,0.034499,0.536378,1,TRUE
2,10.162085,2,10.315059,1.171106,261.025209,1,1,1,6.567923,TRUE
1,8,0,0,2,1,0,0,0,1,FALSE
1,8,0,0,2,1,0,0,0,1,FALSE
1,8,0,0,2,1,0,0,0,1,FALSE
1,0,0,0,2,32,0,0,0,0,FALSE
1,1,21,1,0.740741,109,1,1,1,7,FALSE
1,1,21,1,0.740741,109,1,1,1,7,FALSE
1,1,21,1,0.740741,109,1,1,1,7,TRUE
1,10,4,9,1.3,241,1,0,0,3,FALSE
1,8.341317,82.031068,1.435493,0.830379,131.539476,1.652227,1,1,7,TRUE
2,4.102741,1.001358,4,1.529419,47.961271,0,1,1,1,TRUE
1,10,69,0,0.785714,213,0,1,1,7,FALSE
1,10,69,0,0.785714,213,0,1,1,7,FALSE
1,10,69,0,0.785714,213,0,1,1,7,TRUE
2,10.601493,70.565086,11.380177,2,99.283769,0,0.180602,0.800613,1,TRUE
2,10.259289,33.811425,10.546531,2,103.671168,0,0,0,1.771213,TRUE
1.096477,11.691375,81.393666,5.061039,1.550758,110.025931,1.300635,0.288721,0.200867,2.30607,TRUE
1,0,0,0,2,13,0,0,0,0,TRUE
1,0,0,0,2,13,0,0,0,0,FALSE
1,0,0,0,2,13,0,0,0,0,FALSE
1,7,83,1,0.904762,129,1,1,1,7,FALSE
1,8,83,1,0.904762,129,1,1,1,7,FALSE
1.802745,9.976828,75.614063,7.770286,2,13.960734,0,0.428737,0.560741,1,TRUE
1.316298,4.150924,26.316034,2.234271,1.179442,97.740404,0.089213,0.168708,0.0285,5.747166,TRUE
1,9,4,9,1.27451,223,0,0,0,5,FALSE
1,2,37,1,0.85,109,1,1,1,7,FALSE
1,2,37,1,0.85,109,1,1,1,7,FALSE
1,2,37,1,0.85,109,1,1,1,7,FALSE
1,9,0,0,0.666667,140,0,0,0,2,FALSE
2,10,2,10,1.166667,202,1,1,1,7,TRUE
1,5,0,4,0.166667,52,0,0,0,1,FALSE
1,5,0,4,0.166667,52,0,0,0,1,FALSE
2,11,3,7,2,93,0,0,0,4,FALSE
2,11.172905,71.918769,10.399649,2,83.085307,0,0.230824,0.425373,1,TRUE
1,5,0,5,0.5,94,0,0,0,1,FALSE
1,5,0,5,0.5,94,0,0,0,1,FALSE
1,0,0,0,2,11,0,0,0,0,FALSE
1,0,0,0,2,11,0,0,0,0,FALSE
1,0,0,0,2,11,0,0,0,0,FALSE
2,10,2,10,1.125,118,1,1,1,1,FALSE
1,0,0,0,2,7,0,0,0,0,FALSE
2,11,28,11,2,87,0,0,0,1,FALSE
1,5,4,4,1.142857,128,2,0,0,2,FALSE
1,5,4,4,1.142857,128,2,0,0,2,FALSE
1,5,4,4,1.142857,128,2,0,0,2,FALSE
1,8,0,0,0.666667,140,0,0,0,2,FALSE
1.208397,4.245517,4.439865,3.884169,2,24.443069,0,0,0,0.194628,TRUE
1,5,0,4,0.25,63,1,0,0,3,FALSE
1,5,0,4,0.25,63,1,0,0,3,FALSE
2,10.038639,2,10.013195,1.200447,257.080895,1,1,1,6.578937,TRUE
2,6,2,6,0.777778,57,1,0,0,1,TRUE
2,6,2,6,0.777778,57,1,0,0,1,FALSE
1,0,0,0,0.333333,23,0,0,0,1,FALSE
1,0,0,0,0.333333,23,0,0,0,1,FALSE
1,0,0,0,0.333333,23,0,0,0,1,FALSE
1.281431,6.182606,65.560494,3.346297,1.876342,143.140822,0.558293,0.157563,0.646397,3.491843,TRUE
1,5,0,5,0.5,94,0,0,0,1,FALSE
1,0,1,0,2,45,0,0,0,4,FALSE
1,0,1,0,2,45,0,0,0,4,FALSE
1,8,0,0,0.625,115,0,1,1,6,FALSE
2,8,15,8,2,83,0,0,0,2,FALSE
2,8,15,8,2,83,0,0,0,2,FALSE
2,8,15,8,2,83,0,0,0,2,FALSE
1,11,7,1,0.88,41,1,0,0,1,FALSE
1,11,7,1,0.88,41,1,0,0,1,FALSE
1,11,7,1,0.88,41,1,0,0,1,FALSE
2,5.189024,2.782685,4.415894,0.857915,41.339009,0.960959,0.173214,0.660192,1,TRUE
2,11,21,11,2,80,0,0,0,1,FALSE
2,11,21,11,2,80,0,0,0,1,FALSE
2,11,21,11,2,80,0,0,0,1,FALSE
1,8,66,5,2,12,0,0,0,1,FALSE
2,10,36,10,2,80,0,0,0,1,FALSE
2,10,36,10,2,80,0,0,0,1,FALSE
2,10,36,10,2,80,0,0,0,1,FALSE
1,11,0,10,0.5,237,2,0,0,4,FALSE
1,11,0,10,0.5,237,2,0,0,4,FALSE
1,2,1,1,0.5,187,1,0,0,3,FALSE
1,11,0,10,0.5,234,2,0,0,4,FALSE
2,10,2,10,1.134861,261.024151,1,1,1,6.015229,TRUE
1,5,20,1,0.791667,99,1,1,1,7,FALSE
1,5,20,1,0.791667,99,1,1,1,7,FALSE
1,5,20,1,0.791667,99,1,1,1,7,FALSE
1,7,11,6,1.085714,169,0,0,0,5,FALSE
1,7,11,6,1.085714,169,0,0,0,5,FALSE
1,7,11,6,1.085714,169,0,0,0,5,FALSE
1.832395,8.235651,13.63903,3.465199,2,25.645761,0,0,0,1,TRUE
1,3,63,1,0.828571,152,1,1,1,7,FALSE
1,3,63,1,0.828571,152,1,1,1,7,FALSE
1,3,63,1,0.828571,152,1,1,1,7,TRUE
2,10,2,10,1.125,262,1,1,1,6,TRUE
2,11.145217,41.438179,10.221737,2,88.709402,0,0,0,2.600896,TRUE
1,3,1,2,0.5,203,1,0,0,3,FALSE
1,3,1,2,0.5,203,1,0,0,3,FALSE
1,1.271738,2.893261,0.496263,2,9.728326,0,0,0,0.544417,TRUE
2,5,1,4,2,49,0,1,1,1,TRUE
2,5,1,4,2,49,0,1,1,1,TRUE
2,5,1,4,2,49,0,1,1,1,TRUE
2,5,1,4,2,49,0,1,1,1,TRUE
2,5,1,4,2,49,0,1,1,1,TRUE
1,8,9,1,0.8,79,1,0,0,1,FALSE
1,11,13,9,1.142857,189,0,0,0,5,FALSE
2,10,28,10,2,83,0,0,0,3,TRUE
2,10,28,10,2,83,0,0,0,3,FALSE
2,10,28,10,2,83,0,0,0,3,FALSE
2,4,1,4,2,33,0,1,1,1,FALSE
2,4,1,4,2,30,0,1,1,1,FALSE
1,8,30,1,0.848485,88,1,0,0,1,FALSE
1,9,0,0,0.666667,28,0,0,0,1,FALSE
1,9,8,8,1.1875,151,1,0,0,3,FALSE
1,7,9,1,0.8,79,1,0,0,1,FALSE
2,5,1,4,2,29,0,1,2,1,FALSE
1,11,25,8,0.388889,284,2,0,0,6,FALSE
1,9.780703,67.321231,0.158897,0.787749,189.158091,0.067511,1,1,7,TRUE
2,5,1,4,2,17,0,1,2,1,FALSE
2,5,1,4,2,17,0,1,2,1,FALSE
2,5,1,4,2,17,0,1,2,1,FALSE
2,5,1,4,2,17,0,1,2,1,FALSE
2,5,1,4,2,17,0,1,2,1,FALSE
2,5,1,4,2,17,0,1,2,1,FALSE
2,5,1,4,2,17,0,1,2,1,FALSE
2,5,1,4,2,17,0,1,2,1,FALSE
2,10,36,10,2,77,0,0,0,1,FALSE
1,11.912195,55,3.842414,2,11,0,0,0,1,TRUE
1.641865,8.988781,24.276548,5.971066,2,19.7309,0,0,0,1,TRUE
2,4,1,3,2,11,0,1,1,1,FALSE
2,4,1,3,2,11,0,1,1,1,FALSE
1.877344,5.048847,4.089568,1.107717,2,8.382801,0,0,0,1,TRUE
1,4.84926,61.867894,1,0.790776,153.600988,1,1,1,7,TRUE
1,2,31,0,0.86,64,0,0,0,1,FALSE
1,2,31,0,0.86,64,0,0,0,1,FALSE
1,2,31,0,0.86,64,0,0,0,1,FALSE
2,10,21,10,2,71,0,0,0,1,FALSE
1,1,9,0,0.755556,155,0,0,0,3,FALSE
1,1,9,0,0.755556,155,0,0,0,3,FALSE
1,1,9,0,0.755556,155,0,0,0,3,FALSE
1,6,2,0,0.785714,99,0,1,1,5,FALSE
1,7,4,3,0.5,97,0,0,0,2,FALSE
1,7,4,3,0.5,97,0,0,0,2,FALSE
1,8,6,0,0.708333,104,0,1,1,5,FALSE
1,3,4,0,0.625,90,0,0,0,1,FALSE
1,3,4,0,0.625,90,0,0,0,1,FALSE
1,3,4,0,0.625,90,0,0,0,1,FALSE
2,9.88944,67.596065,10.062552,2,90.325842,0,0.732749,2.02048,1,TRUE
2,10,2,10,1.148148,153,1,1,1,3,FALSE
1.383287,5.511461,4.581054,1.283136,2,22.684398,0,0,0,1,TRUE
1,4,0,2,2,1,0,0,0,1,FALSE
1,4,0,2,2,1,0,0,0,1,FALSE
1,4,0,2,2,1,0,0,0,1,FALSE
1.399382,9.897177,3.194894,8.879851,1.177792,267.983719,1.676355,0.505551,0.385746,5.40484,TRUE
1,12,55,5,2,11,0,0,0,1,FALSE
1,12,55,5,2,11,0,0,0,1,TRUE
1,7,6,0,0.708333,104,0,1,1,5,FALSE
1,4.129668,62.689547,1,0.812684,153.148569,1,1,1,7,TRUE
2,8,3,7,2,72,0,0,0,3,FALSE
1,8,55,5,2,11,0,0,0,1,FALSE
2,4.539501,4.538332,5.176532,1.721773,36.94994,0,0.459849,0.493381,1,TRUE
1,9,55,2,2,11,0,0,0,1,TRUE
1,9,55,2,2,11,0,0,0,1,TRUE
1,9,55,2,2,11,0,0,0,1,TRUE
1,3,0,1,0.5,30,0,0,0,1,FALSE
1,3,0,1,0.5,30,0,0,0,1,FALSE
1,3.383683,15.835839,0.943693,0.789725,80.62896,0.996062,0.581983,0.447722,4.328061,TRUE
2,8,3,7,2,63,0,0,0,3,FALSE
1,10.245794,55,4.792324,2,11,0,0,0,1,TRUE
1,3,0,1,2,1,0,0,0,1,FALSE
1,3,0,1,2,1,0,0,0,1,FALSE
1,3,0,1,2,1,0,0,0,1,FALSE
