cbo,ca,npm,dam,mfa,max_cc,buggy
5,0,2,0,0.982143,1,TRUE
6,6,2,0,0,1,TRUE
8,1,3,1,0.952381,1,TRUE
4,2,2,0.5,0.987342,2,TRUE
3,1,8,1,0.65,2,TRUE
11,1,4,1,0,2,TRUE
7,0,5,1,0.971831,1,TRUE
1,0,10,1,0,3,TRUE
1.315418,1.644134,0.658737,0.12119,0,6.742323,FALSE
1.663768,1,0,0.042682,0.079373,6.810316,FALSE
6,1,5,1,0,2,TRUE
9,0,6,0,0.975124,4,TRUE
1,0,4,0,0.571429,3,TRUE
1.565544,1.458465,0,0.180346,0.246888,6.998378,FALSE
2.205439,1,0,0.038846,0.36825,6.275103,FALSE
3,0,2,1,0.952381,3,TRUE
3,3,2,0,1,0,TRUE
2.205343,1,0,0.272762,0.374533,6.465358,FALSE
1.43307,1,0.042307,0.396783,0.09402,6.809065,FALSE
8,3,1,0,0,0,TRUE
4,3,2,0,1,0,TRUE
6,2,3,1,0.975904,1,TRUE
6,6,4,0,0,1,TRUE
2,2,1,0.396552,0,1,TRUE
0,0,1,0,0,0,TRUE
1,0,5,1,0,1,TRUE
1.151588,1,1.21985,0.996352,0.382682,2.464752,FALSE
10,0,2,0,0.979592,1,TRUE
4,0,5,1,0.5,1,TRUE
1.331255,1,0.406504,0.511633,0.175652,2.844705,FALSE
2.011832,1,0.786534,0.990913,0.461563,2.123793,FALSE
13,0,7,0.5,0.965517,2,TRUE
6,3,5,0,0.98,1,TRUE
2.128515,1,0,0.052714,0.376398,6.737774,FALSE
3,1,4,1,0,3,TRUE
1,1,3,0,0,0,TRUE
1,1,0.700199,0.52469,0,7.902347,FALSE
5,1,4,1,0.964286,1,TRUE
1.439149,1.01925,0.526266,0.524721,0,5.927209,FALSE
3,0,7,1,0.684211,1,TRUE
1,1,1,0,0,0,TRUE
0,0,2,1,0,2,TRUE
5,1,3,1,0.975904,1,TRUE
1.533831,1.164288,1.98886,0.970656,0,2.848703,FALSE
2,1,8,1,0.65,1,TRUE
6,1,3,0,0.953488,1,TRUE
2,2,4,1,0,2,TRUE
9,2,4,0.75,0.981308,1,TRUE
8,1,1,0,0.995283,1,TRUE
6,0,2,0,0.979592,1,TRUE
2.143483,1.173435,0.107024,0.033909,0.190679,2.107291,FALSE
2.120973,1.024264,0.38902,0.071348,0.457757,2.385951,FALSE
1,0,3,0,0,2,TRUE
1,0,5,1,0,1,TRUE
9,2,7,0.5,0,1,TRUE
5,0,3,0,0.983539,3,TRUE
2.656331,1.276464,0,0,0.464786,2,FALSE
2.035958,1.637689,0.329643,0,0.942698,0.543989,FALSE
2,2,4,0.5,0.944444,2,TRUE
5,5,4,0,0,1,TRUE
8,2,6,1,0,1,TRUE
6,5,1,0.296296,0,3,TRUE
1.535827,1,1.796799,0.746828,0.010143,3.457122,FALSE
1.597661,1.102499,0,0.093889,0.104995,6.629007,FALSE
10,1,5,1,0.918033,2,TRUE
2.019577,1.581192,0.249966,0,0.988851,0.187626,FALSE
5,0,2,0,0.982456,1,TRUE
3,3,0,0,1,0,TRUE
6,0,2,0,0.982456,1,TRUE
2,1,1,0,0.99095,1,TRUE
6,4,3,0.5,0,1,TRUE
1,1,2,1,0,3,FALSE
8,1,2,0,0.995327,1,TRUE
4,0,2,1,0.965517,1,TRUE
2.015343,1.480766,1.771331,0.603365,0.095837,2.342567,FALSE
5,0,2,0,0.982456,1,TRUE
6,0,2,0,0.982456,1,TRUE
0,0,1,0.015625,0,0,TRUE
12,3,3,0,0.949153,1,TRUE
4,0,3,0,0.95,1,TRUE
4,0,3,0,0.95,1,TRUE
1.364648,1,0.354487,0.315016,0.006578,7.019469,FALSE
1,1,8,0.833333,0,4,TRUE
1,1,8,0.833333,0,4,TRUE
2,0,7,1,0.6,4,TRUE
11,1,3,0,0.95,1,TRUE
1,1,0.996033,0.692186,0,5.395656,FALSE
2.24758,1.264549,0.968451,0,0.988198,0.419026,FALSE
7,1,5,0,0.98,1,TRUE
6,4,1,0,0,1,TRUE
12,0,4,0,0.969697,3,TRUE
1.913647,1,1.507669,0.992307,0.074896,2.88534,FALSE
6,1,3,0,0.953488,1,TRUE
6,1,3,0,0.953488,1,TRUE
2.307527,1.208767,0.892445,0,0.98255,0.542953,FALSE
8,1,5,0.5,0.904762,2,TRUE
1.413485,1.157652,1.03128,0.843436,0.042336,2.726607,FALSE
13,1,3,0,0.979592,3,TRUE
5,2,7,0.666667,0,2,TRUE
2.319547,1.444519,0,0,0.030057,2,FALSE
0,0,1,0,0,0,TRUE
4,2,1,0,1,0,TRUE
2.160529,1.451552,0.905339,0,0.99283,0.497329,FALSE
6,1,6,0.5,0.975124,1,TRUE
0,0,1,0,1,0,TRUE
4,0,2,0,0.982143,1,TRUE
1.063297,1.200264,1.624938,0.738076,0,2.940705,FALSE
2.046453,1.301892,0.878058,0,0.937474,0.184982,FALSE
5,1,3,0,0,1,TRUE
14,1,3,0,0.979592,1,TRUE
4,0,2,0,0.982143,1,TRUE
0,0,0,0,0,4,TRUE
0,0,0,0,0,0,TRUE
1.826805,1.634777,0.017721,0.232018,0,2.318302,FALSE
1,0,1,0,1,0,TRUE
2.043029,1.48795,0.906852,0,0.997394,0.166301,FALSE
1,1,0.749279,0.52677,0,5.494849,FALSE
0,0,1,0,0,0,TRUE
0,0,1,0,0,0,TRUE
0,0,1,0,0,0,TRUE
10,2,3,0.5,0.96,1,TRUE
2,2,1,0,1,0,FALSE
5,0,2,0,0.982143,1,TRUE
2.139919,1.352846,0.133955,0,0.925337,0.612579,FALSE
3,2,1,0,1,0,TRUE
5,0,2,0,0.979592,1,TRUE
0,0,1,0,1,0,TRUE
8,0,2,0,0.979592,1,TRUE
2.226764,1.480766,0,0,0.470707,2,FALSE
5,0,2,0,0.982143,1,TRUE
0,0,1,0,1,0,TRUE
5,0,2,0,0.982143,1,TRUE
9,1,6,0.5,0.970297,2,TRUE
2,2,1,0,0,0,TRUE
2,2,0,0,0,2,FALSE
1,1,6,1,0,1,TRUE
3,2,3,1,0,1,TRUE
1,0,1,0,1,0,TRUE
1,0,1,0,1,0,TRUE
1,0,1,0,1,0,TRUE
1,0,1,0,1,0,TRUE
7,1,2,0,0.990566,1,TRUE
2.261752,1.945785,0.949809,0,0.99968,0.108185,FALSE
2.041275,1,1.41403,0.979131,0.391817,2.316438,FALSE
5,0,2,0,0.982143,1,TRUE
1,0,1,0,0,1,TRUE
1,0,1,0,0,1,TRUE
1,1,5,1,0,1,TRUE
1.165627,1.698371,0.406504,0.511633,0,2.844705,FALSE
2.067662,1,1.98886,0.970656,0.101801,2.848703,FALSE
2.203715,1.480605,0,0,0.454057,2,FALSE
2,1,1,0,1,0,TRUE
2,1,1,0,1,0,TRUE
2.215529,1.164472,0.650798,0,0.823187,0.608247,FALSE
0,0,1,0,0,1,TRUE
5,0,2,0,0.979592,1,TRUE
5,0,2,0,0.979592,1,TRUE
1.603841,1.724813,0.257787,0.110636,0,2.194423,FALSE
1,1,1,0,0,0,TRUE
1,1,1,0,0,0,TRUE
5,0,2,0,0.979592,1,TRUE
5,0,2,0,0.979592,1,TRUE
7,1,1,0,0.995261,1,TRUE
6,0,3,0,0.964912,1,TRUE
3,1,1,0,0,1,TRUE
3,1,1,0,0,1,TRUE
3,1,1,0,0,1,TRUE
1.075794,1.091507,1.21985,0.996352,0,2.464752,FALSE
4,3,1,0,0,1,TRUE
6,0,2,0,0.979592,1,TRUE
6,0,2,0,0.979592,1,TRUE
4,2,1,0,0,1,TRUE
4,2,1,0,0,1,TRUE
4,2,2,0,0,1,TRUE
11,0,2,0,0.989691,2,TRUE
3,3,1,0,0,1,TRUE
2,1,6,0.666667,0.975124,1,TRUE
10,0,2,0,0.989691,1,TRUE
10,0,2,0,0.989691,1,TRUE
2.466018,1.601545,0,0,0.031495,2,FALSE
1.488107,1.006742,0.777681,0.86033,0.151502,2.174459,FALSE
1.996,1.208892,1.37253,0.08249,0.174039,2.592899,FALSE
9,1,2,0,0.978261,1,TRUE
2.339183,1.05536,0.316383,0.704021,0.046662,2.00966,FALSE
2,1,1,0,0,1,TRUE
1.987977,1,1.851316,0.881084,0.16188,2.884926,FALSE
10,1,4,0,0.985366,1,TRUE
4,0,1,0,0,1,TRUE
1.197989,1.019874,1.966485,0.643741,0.022176,2.513709,FALSE
0,0,1,0,0,1,TRUE
1,1,1,0,0,1,TRUE
1,1,1,0,0,1,TRUE
2.486869,1.232269,0,0,0.032335,2,FALSE
1.845,1,1.416618,0.347571,0.301371,2.902934,FALSE
6,1,0,0,0.995327,1,TRUE
2,2,1,0,0,1,TRUE
1.831547,1.161716,1.33763,0.438135,0.019458,2.678754,FALSE
10,0,2,0,0.989691,2,TRUE
2.293424,1.334795,0.548447,0,0.946004,0.566234,FALSE
6,3,4,1,0.4,3,TRUE
2.170128,1.336273,0.567591,0,0.95155,0.588579,FALSE
1.580361,1.102703,0.905451,0.601578,0.032857,2.433082,FALSE
1.924535,1.232269,0.731033,0.006394,0.019489,2.768236,FALSE
6,1,5,0.5,0.555556,1,TRUE
3,3,3,0,0,3,TRUE
2.273537,1.505184,0,0,0.033247,2,FALSE
1.758391,1,0.32255,0.39209,0.447738,2.822537,FALSE
7,0,2,0,0.989691,1,TRUE
3,1,3,1,0.5,4,TRUE
3,1,2,0,0.987805,1,TRUE
2.291224,1.212689,0.876118,0,0.939652,0.597267,FALSE
2,2,4,0,0,1,TRUE
10,0,2,0,0.989691,1,TRUE
1.91648,1,1.580777,0.606004,0.151775,2.86811,FALSE
2.224376,1.343403,0,0,0.065585,2,FALSE
2.443864,1.569784,0,0,0.072116,2,FALSE
3,1,2,1,0,3,TRUE
6,3,3,0,0,1,TRUE
0,0,3,0,0.95,1,TRUE
6,1,1,0,0.990698,1,TRUE
6,1,1,0,0.990698,1,TRUE
2,2,3,0,0,2,TRUE
1.674332,1.135583,1.317256,0.504556,0.300982,2.869756,FALSE
1.912654,1,0.091128,0.079468,0.339654,2.121761,FALSE
4,4,2,0,0,1,TRUE
7,1,2,0,0.990698,1,TRUE
5,1,2,0,0.97561,1,TRUE
2.226134,1.480656,0,0,0.469209,2,FALSE
1,0,2,0,0,1,TRUE
4,1,2,0,0.97619,1,TRUE
4,1,2,0,0.97619,1,TRUE
4,1,2,0,0.97619,1,TRUE
4,1,2,0,0.97619,1,TRUE
4,1,2,0,0.97619,1,TRUE
4,1,2,0,0.97619,1,TRUE
2.142377,1.243744,0.170536,0.166853,0.070053,2.62635,FALSE
1.149816,1.29683,0.714179,0.598539,0,2.38913,FALSE
1.895106,1,1.048911,0.57194,0.387066,2.660561,FALSE
1.973763,1,1.475424,0.777839,0.226688,2.880517,FALSE
2.465968,1.608648,0,0,0.022203,2,FALSE
3,3,3,0.25,0,1,TRUE
1.068965,1.151347,0.714209,0.562455,0,3.972026,FALSE
2.289739,1.273512,0,0,0.258346,2,FALSE
2,1,2,0,0.8,1,TRUE
2.563346,1.409715,0,0,0.043697,2,FALSE
2,2,4,0.75,0,1,TRUE
1.161881,1.239835,0.441219,0.234157,0.032275,2.295591,FALSE
2.061116,1.18827,1.395712,0.268183,0.442675,2.382107,FALSE
7,2,3,0,0.953488,1,TRUE
7,2,3,0,0.953488,1,TRUE
7,2,3,0,0.953488,1,TRUE
7,2,3,0,0.953488,1,TRUE
7,2,3,0,0.953488,1,TRUE
6,1,3,0,0.952381,1,TRUE
6,1,3,0,0.952381,1,TRUE
2.242145,1.301941,0,0,0.458481,2,FALSE
2.472483,1.536027,0,0,0.027068,2,FALSE
2.394985,1.393757,0,0,0.122143,2,FALSE
7,2,3,0,0.952381,1,TRUE
2.482166,1.465816,0,0,0.307462,2,FALSE
4,2,4,0.666667,0,2,TRUE
2,1,2,0,0,1,TRUE
1.847772,1.362219,1.11937,0.107918,0.150558,2.178729,FALSE
2.192381,1.170108,1.094458,0.140393,0.446706,2.416182,FALSE
1.561581,1,0.769466,0.649603,0.182078,4.715484,FALSE
2,2,2,0,0,1,TRUE
2.441466,1.465088,0,0,0.487645,2,FALSE
2.597719,1.553,0,0,0.28499,2,FALSE
1.422689,1.159229,0.745233,0.669296,0.047067,2.346472,FALSE
2.846693,1.065169,0,0,0.483762,2,FALSE
2.158973,1.183229,0.534606,0,0.881478,0.608338,FALSE
2.899863,1.206309,0,0,0.492991,2,FALSE
2.201887,1.325559,0.78083,0.163283,0.441596,2.174353,FALSE
2.231596,1.321791,0,0,0.454452,2,FALSE
2.294225,1.164062,0,0,0.478498,2,FALSE
2.161567,1.267597,0.633259,0,0.832042,0.609179,FALSE
2.75577,1.018535,0.012703,0,0.510318,1.333281,FALSE
2.507983,1.400929,0,0,0.470418,2,FALSE
2.962317,1.219001,0,0,0.479953,2,FALSE
2.697196,1,0.261389,0.151115,0.412276,2.097457,FALSE
2.523075,1.315611,0,0,0.231941,2,FALSE
2.540302,1.201519,0,0,0.471045,2,FALSE
2.931292,1.123807,0,0,0.499503,2,FALSE
1.77853,1.018028,0.111759,0.333717,0.284664,2.650739,FALSE
2.927428,1.192839,0,0,0.49501,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
3,1,0,0,0.5,2,FALSE
