dit,ca,ce,lcom3,loc,moa,ic,buggy
1,0,0,2,333,0,0,FALSE
8,1,9,0.8,177,1,1,FALSE
2,2,18,1.114286,427,0,0,FALSE
7,0,8,0.5,372,1,0,FALSE
2,2,6,2,52,0,1,FALSE
1,0,0,0,39,0,0,FALSE
7,4,6,0.85,156,3,0,FALSE
7,3,4,0.444444,401,2,0,FALSE
4,11,6,0.5,135,0,1,FALSE
5,6,11,0.625,610,1,0,FALSE
2,7,4,0.73,584,1,0,FALSE
2,2,1,0.444444,148,0,2,FALSE
2,16,2,2,5,0,0,FALSE
4.729929,8.75135,13.454599,0.757327,327.50414,0.596364,0,TRUE
1,3,0,0,24,0,0,FALSE
4,2,4,0.533333,494,1,2,FALSE
7,2,11,0.542857,212,3,1,FALSE
4,5,5,0,44,0,1,FALSE
2,1,5,0.563636,525,1,1,FALSE
1.025126,10.455445,16.079404,0.751032,663.726907,0.644173,0.973834,TRUE
1,0,2,2,38,0,0,FALSE
1,1,4,0.679688,709,1,0,FALSE
1.981811,3.186008,5.36028,1.19031,209.312365,0.080822,0.078233,TRUE
1,2,1,0.436364,212,0,0,FALSE
1,12,11,0.798077,466,1,0,FALSE
1,4,3,1,239,3,0,FALSE
1.313681,3.204899,10.507227,0.959683,215.897182,0.966414,0.681872,TRUE
1,2,0,0.688312,256,1,0,FALSE
2,2,9,0.621212,615,2,0,FALSE
2,4,9,0.771429,388,0,0,FALSE
7,0,2,2,16,0,1,FALSE
6,9,7,0.868132,339,1,2,FALSE
3.397877,0.661016,5.897869,1.306408,232.883542,0.0366,0,TRUE
6,10,22,0.813853,561,4,1,TRUE
2,1,9,0.571429,177,3,0,FALSE
6,11,11,0.897959,230,1,0,FALSE
5.906434,9.448118,21.102337,0.794291,558.11326,2.927452,0.960402,TRUE
1,0,3,0.5,300,0,0,FALSE
1.373908,10.981382,9.061396,0.687243,685.228345,0.357901,0.302636,TRUE
1,10,18,2,397,0,0,FALSE
4.871497,9.199616,13.479527,0.668266,397.145679,0.67606,0,TRUE
1,7,4,0.833333,300,1,0,FALSE
5,4,1,0.571429,419,0,0,FALSE
7,8,19,0.746032,685,3,2,FALSE
6,2,5,2,150,0,0,FALSE
3,1,0,1,82,0,2,FALSE
3.037199,10.840422,15.757012,0.728302,571.840678,1.47601,0.583354,TRUE
3.042907,7.044188,11.427434,0.669507,392.719251,0.103559,0,TRUE
1,11,8,0.666667,232,0,0,FALSE
3.59756,0.127445,15.860616,1.201689,297.265874,0.118319,0,TRUE
1,4.437633,4.210959,1.53231,209.256479,0,0,TRUE
1,4,11,0.705882,707,0,0,FALSE
1,1,0,0.583333,443,1,1,FALSE
3,2,0,1.12,184,0,1,FALSE
7,4,8,0.84127,368,1,0,FALSE
1.014803,10.954241,10.111986,0.649634,672.062669,0.34147,0.737763,TRUE
4.050325,2.202869,11.596085,1.03008,340.006455,0.123343,0,TRUE
3,15,2,0.8,135,1,0,FALSE
2,1,10,1,290,0,1,FALSE
5.611671,10.609496,17.981316,0.76711,570.057603,3.067456,0.893354,TRUE
3.88137,2.827532,12.301492,1.164554,350.718084,0.153506,0,TRUE
5.023097,3.650057,17.494881,0.891753,444.89437,3.06353,0.831017,TRUE
1,4,10,0.746032,485,1,0,FALSE
1,4,13,2,191,0,0,FALSE
1,2,0,2,13,0,0,FALSE
3.273275,8.590006,16.52992,0.93449,540.445595,2.755202,0.590917,TRUE
6,4,5,0.592593,254,1,2,FALSE
7,2,4,0.5,64,0,1,FALSE
2,7,9,0.805556,189,3,1,FALSE
5.420762,3.863035,16.17513,1.03998,541.569728,2.590387,0.895967,TRUE
1,1,6,0.6,132,3,0,FALSE
2,11,9,0.428571,89,0,1,FALSE
2,5,8,0.638889,552,1,1,FALSE
1,2,1,2,8,3,0,FALSE
5.086206,6.625246,17.831943,1.302408,543.480704,2.350996,0.219189,TRUE
1,6,11,0.821429,378,1,0,FALSE
1,3,9,0.5,203,0,0,FALSE
4.35596,10.551947,17.942677,0.736836,561.389125,3.009409,0.702168,TRUE
7,2,8,0.814286,408,0,0,FALSE
4.626218,4.01127,18.200205,0.990364,526.786045,2.079611,0.688821,TRUE
4,0,0,1.1,173,0,1,FALSE
4.916033,9.124217,15.49723,0.691036,409.950908,1.533558,0.113115,TRUE
5.633834,9.218224,16.120094,0.706671,551.477544,2.289734,0.902627,TRUE
5.300438,7.185014,16.375167,0.800806,379.616721,1.158425,0.729269,TRUE
2,4,8,0.694444,294,1,2,FALSE
2,1,10,2,149,0,1,FALSE
3.939613,4.274108,11.215314,0.827229,339.650505,0.557422,0,TRUE
1,9,11,0.685185,207,2,0,FALSE
2,0,4,0,44,0,0,FALSE
4.988385,9.16895,18.47181,0.795343,415.318018,1.345973,0.052844,TRUE
2,1,5,1,32,0,0,FALSE
3.449875,0.985729,13.520709,1.953097,242.123297,0.322,0,TRUE
7,4,10,0.740741,403,2,0,FALSE
4.793366,9.588485,16.022487,0.714358,564.991516,2.035582,0.867538,TRUE
1,1,2,0,12,1,0,FALSE
6,6,3,2,46,0,0,FALSE
5,1,10,2,23,0,0,FALSE
1,2,6,0,248,0,0,FALSE
2,6,5,0.721154,400,1,0,FALSE
3.536039,0.606953,15.145209,1.931865,262.130201,0.305572,0,TRUE
6,3,6,0.8,203,2,0,FALSE
5,4,9,0.7,139,3,0,FALSE
1,16,0,1,160,0,0,FALSE
1.806991,0.772632,9.720527,1.082923,152.660568,2.655884,0.61406,TRUE
3.428335,8.896825,11.558931,0.666693,663.543406,0.226737,0,TRUE
5.694814,9.638557,19.733665,0.80911,545.279304,2.347955,0.198644,TRUE
5,4,5,0.930556,158,3,1,FALSE
4,1,5,0,31,1,0,FALSE
1,1,3,0,59,1,0,FALSE
1,15,6,0.222222,191,0,0,FALSE
1,11,8,0.647059,687,0,0,TRUE
1,8,22,0.842424,734,3,0,FALSE
1.833588,3.759023,11.768337,1.298649,290.448007,0.651497,0,TRUE
2,4,6,0.666667,37,0,0,FALSE
2,1,2,2,5,0,0,FALSE
2,1,2,2,5,0,0,FALSE
1,1,1,0.229167,498,0,0,FALSE
2,2,4,0.92,256,0,1,FALSE
5.417147,9.776027,12.279173,0.690925,572.93349,0.280554,0.725516,TRUE
1,12,3,1,16,2,0,FALSE
4.86208,7.473753,16.259793,0.769673,384.460873,0.60281,0.195063,TRUE
2,3,2,0.333333,281,0,1,FALSE
2,3,2,2,5,0,0,FALSE
5.608823,4.726026,16.532355,1.091562,546.174703,2.290852,0.883602,TRUE
2,1,1,0.805556,115,0,0,FALSE
2,3,1,1,10,0,0,FALSE
1,5,5,0.75,182,2,0,FALSE
2,1,7,1,80,0,0,FALSE
1,2,10,2,157,0,0,FALSE
5.749837,9.782409,20.079406,0.810755,553.324072,2.516436,0.681757,TRUE
2,2,13,2,119,0,1,FALSE
6,8,2,0.285714,105,0,1,FALSE
2,1,11,0.625,221,0,1,FALSE
2,3,9,2,190,0,1,FALSE
2,1,5,0.5,97,0,0,FALSE
2,1,2,0.619048,366,0,0,FALSE
1,6,1,2,193,0,0,FALSE
1,14,2,2,1,0,0,FALSE
5.064754,7.196038,18.48162,0.712516,414.486709,1.063442,0.039593,TRUE
3,2,0,2,5,0,0,FALSE
1,1,2,0.75,42,0,0,FALSE
2,5,2,0,29,0,1,FALSE
3.129952,10.514144,17.185573,0.796394,557.525502,1.896349,0.426463,TRUE
4.025822,0.114312,10.031622,1.585463,307.264129,2.427539,0.52362,TRUE
1,6,3,0.358974,378,1,0,FALSE
1,1,0,0.75,437,0,0,FALSE
4.849658,8.060921,14.313525,0.656032,607.97807,0.225022,0,TRUE
3.98976,9.418261,10.254613,0.678238,571.902601,2.184544,0.319875,TRUE
3.334052,9.941238,9.168126,0.67131,670.935361,0.253472,0,TRUE
2,10,10,0.8125,288,0,0,FALSE
1,3,8,0.533333,515,0,0,FALSE
2,3,10,1,123,1,1,FALSE
2,3,2,0,36,0,1,FALSE
1,1,4,0.666667,82,0,0,FALSE
5.318474,9.101705,19.332403,0.81019,439.763573,1.552689,0.680292,TRUE
5.451403,10.194221,19.628463,0.790904,639.458178,2.279404,0.999168,TRUE
3,9,0,2,9,0,0,FALSE
2,1,4,0.5,94,0,1,FALSE
4,2,1,2,5,0,0,FALSE
1,10,2,2,16,1,0,FALSE
1,0,7,0.666667,235,1,0,FALSE
2.163572,4.385563,9.901516,1.192134,134.445218,0.642135,0.324846,TRUE
3.797237,6.227918,15.711054,0.67763,387.806154,0.312033,0,TRUE
1,0,7,2,84,0,0,FALSE
2,3,11,1,113,1,0,FALSE
2,1,9,1,79,0,1,FALSE
4.541078,8.345407,10.880821,0.660644,642.19826,0.24935,0,TRUE
5.409713,9.540364,19.534269,0.810049,502.015041,1.756921,0.542709,TRUE
2.549002,8.068758,15.697719,0.662972,414.687061,0.051448,0,TRUE
2,1,4,0.765432,220,2,1,FALSE
3.173676,5.124299,13.33254,0.849471,316.009874,0.576712,0,TRUE
1,1,2,0.72,218,1,0,FALSE
1,7,1,0.5,87,0,0,FALSE
1,0,6,0.3,290,0,0,FALSE
1,7,3,0.805556,421,1,0,FALSE
4.972302,8.739878,15.88096,0.680137,384.930154,0.774229,0,TRUE
4.238056,6.162241,15.722173,0.663185,389.407985,0.838727,0,TRUE
1.68545,10.36045,10.727486,0.655044,683.971335,0.147429,0,TRUE
2,1,0,2,88,0,0,FALSE
3.243901,3.390067,13.110465,1.367921,245.663275,0.501211,0,TRUE
2,2,4,0,35,0,1,FALSE
2,2,8,0.625,187,0,1,FALSE
1,9,1,0.625,64,1,0,FALSE
5,6,7,0.5,82,1,0,FALSE
1,3,5,0.833333,159,0,0,FALSE
2,0,1,2,14,0,0,FALSE
1,1,3,2,57,0,0,FALSE
2,1,3,0.5,32,1,0,FALSE
4.961997,5.413715,15.298819,0.754026,371.249026,0.846964,0,TRUE
2.937567,7.422974,13.530138,0.812891,396.404724,0.106313,0,TRUE
1,1,2,0,37,0,0,FALSE
2,2,5,0,79,0,1,FALSE
1,14,1,2,2,0,0,FALSE
2.709448,9.460982,14.832187,0.692461,662.041387,0.277789,0.095572,TRUE
1,2,1,0,46,0,0,FALSE
2,4,7,2,81,0,1,FALSE
1,5,4,1.166667,113,0,0,FALSE
3,1,0,0.75,36,0,1,FALSE
1,5,0,0.5,75,0,0,FALSE
2,1,9,2,41,0,1,FALSE
2,5,6,2,53,0,0,FALSE
1,4,0,0.725,104,0,0,FALSE
1,1,1,0.333333,54,0,0,FALSE
4.164382,9.546826,14.421909,0.741613,660.024704,0.559604,0.233824,TRUE
2,3,2,2,8,0,0,FALSE
2,1,9,1,67,0,1,FALSE
2,1,8,1,29,0,1,FALSE
2,2,3,2,86,0,1,FALSE
1,6,0,2,8,0,0,FALSE
2,4,9,2,113,0,1,FALSE
1,5,2,0.604167,261,0,0,FALSE
2,1,4,0.833333,141,0,1,FALSE
1,2,5,0.75,161,0,0,FALSE
2,1,6,2,28,0,1,FALSE
2,1,6,2,36,0,1,FALSE
2,0,4,2,44,0,1,FALSE
1,2,0,0,75,0,0,FALSE
2,1,6,2,32,0,1,FALSE
2,10,3,0.933333,86,1,1,FALSE
5,4,5,0.666667,218,0,1,FALSE
1,0,4,0.375,161,0,0,FALSE
2,2,5,1,22,0,1,FALSE
1,10,0,2,1,0,0,FALSE
2,1,4,0.416667,109,2,0,FALSE
2,1,5,0.777778,164,1,1,FALSE
2,0,1,2,14,0,1,FALSE
5,6,16,0.690909,377,1,0,TRUE
1,8,1,2,8,0,0,FALSE
2.421791,5.082281,5.444308,1.617563,59.393787,0.942365,0,TRUE
1,5,16,0.595238,561,1,0,FALSE
2,0,1,2,16,0,1,FALSE
1.923244,4.736613,12.064298,0.979039,301.824211,0.639298,0,TRUE
4.115359,2.626237,15.906088,0.894747,318.388119,0.896134,0,TRUE
1,4,0,1.4375,23,2,0,FALSE
4.028932,7.23887,15.772846,0.679959,378.693934,0.435745,0,TRUE
2,5,6,0.625,128,0,1,FALSE
1,9,7,0.555556,222,1,0,FALSE
1,3,3,0.714286,214,1,0,FALSE
2,3,6,1,47,0,1,FALSE
1,5,3,0.5,87,0,0,FALSE
2,1,3,0.666667,26,0,0,FALSE
2,5,7,0.666667,178,0,1,FALSE
2,0,1,2,16,0,1,FALSE
1,1,0,0.071429,178,1,0,FALSE
2,1,3,0.666667,20,0,0,FALSE
1,0,2,2,117,0,0,FALSE
1,4,0,0.555556,49,0,0,FALSE
1,1,0,0.333333,100,0,0,FALSE
1,0,2,2,18,0,0,FALSE
1,7,1,2,5,0,0,FALSE
1,1,2,1,15,1,0,FALSE
1,6,6,0.75,88,0,0,FALSE
1.342969,3.839659,7.157907,1.336547,236.150811,0.628472,0,TRUE
1,2,3,2,145,0,0,FALSE
1,1,1,0.5,133,0,0,FALSE
1,4,4,0.416667,62,0,0,FALSE
1.650237,4.880214,5.352667,1.893122,34.270466,0.840625,0,TRUE
1,2,0,2,55,0,0,FALSE
1,0,8,2,17,0,0,FALSE
1,7,1,2,1,0,0,FALSE
1,1,1,2,4,0,0,FALSE
1,7,1,2,1,0,0,FALSE
1,5,2,0.545455,259,1,0,FALSE
2.162596,5.01317,6.447736,1.895958,129.579049,0.459619,0,TRUE
1,3,1,2,7,0,0,FALSE
1,0,2,0.833333,84,0,0,FALSE
1,5,0,2,4,0,0,FALSE
1,6,0,2,1,0,0,FALSE
1,6,0,2,1,0,0,FALSE
2,2,2,2,8,0,0,FALSE
3,3,1,0.611111,100,0,0,FALSE
1,6,1,1,9,0,0,FALSE
2,8,3,0.9,55,0,1,FALSE
2,7,2,0.866667,68,0,1,FALSE
1,5,0,2,1,0,0,FALSE
1,6,1,2,2,0,0,FALSE
1,11,1,2,5,0,0,FALSE
1,5,0,2,2,0,0,FALSE
1,4,0,2,1,0,0,FALSE
1,4,0,2,1,0,0,FALSE
1.656071,4.406553,6.414656,1.327874,259.596021,0.344539,0,TRUE
1,1,0,2,1,0,0,FALSE
1,1,0,2,1,0,0,FALSE
1,10,0,2,3,0,0,FALSE
1,3,0,2,1,0,0,FALSE
1,3,0,2,1,0,0,FALSE
1,4,2,2,2,0,0,FALSE
1,2,0,2,1,0,0,FALSE
1,3,0,2,2,0,0,FALSE
1,3,0,2,2,0,0,FALSE
1,3,1,2,2,0,0,FALSE
1,2,10,2,89,0,0,FALSE
1,3,2,2,2,0,0,FALSE
1,9,0,2,2,0,0,FALSE
2,5,3,0.8,60,0,1,FALSE
1,0,6,2,124,0,0,FALSE
1,5,3,2,3,0,0,FALSE
1,1,8,2,101,0,0,FALSE
1,3,3,0.6,120,1,0,FALSE
1,7,2,2,44,0,0,FALSE
1,2,2,2,105,0,0,FALSE
1,1,0,2,6,0,0,FALSE
1.732404,0.758826,5.013185,1.806048,37.603937,0.691658,0,TRUE
1.860921,3.907292,4.3517,1.805637,55.348252,0.463313,0,TRUE
1.400259,4.278992,8.722365,1.488434,260.227538,0.268727,0,TRUE
1,4,5,2,2,0,0,FALSE
1,6,2,2,3,0,0,FALSE
1,1,1,2,5,0,0,FALSE
1,4,1,2,4,0,0,FALSE
1,3,0,2,2,0,0,FALSE
1,5,1,2,2,0,0,FALSE
1,5,0,2,3,0,0,FALSE
1,3,1,1.5,6,0,0,FALSE
1,4,3,2,34,0,0,FALSE
1,1,1,2,5,0,0,FALSE
1,3,3,2,2,0,0,FALSE
1,3,1,2,2,0,0,FALSE
1,1,5,2,12,0,0,FALSE
1,0,4,2,11,0,0,FALSE
1,0,4,2,12,0,0,FALSE
1,0,4,2,12,0,0,FALSE
1,0,4,2,12,0,0,FALSE
1,0,4,2,12,0,0,FALSE
1,0,4,2,12,0,0,FALSE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,FALSE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,FALSE
1,0,4,2,12,0,0,FALSE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
1,0,4,2,12,0,0,TRUE
