cbo,ca,ce,lcom3,cam,cbm,amc,buggy
4,1,3,0.333333,0.583333,0,28,FALSE
4,0,4,0.916667,0.48,0,22.6,TRUE
3,2,1,2,0.916667,0,0,FALSE
8,4,6,0.25,0.433333,0,9.6,FALSE
3,3,0,0.611111,0.52381,0,4.714286,FALSE
8,4,6,0.25,0.433333,0,11.2,FALSE
2,2,0,0.5,0.5,0,30.333333,TRUE
6,2,4,0.25,0.433333,0,6.2,TRUE
8,0,8,0.333333,0.416667,0,25.666667,FALSE
1,1,0,0.444444,0.625,0,17.5,FALSE
2,0,2,2,0.666667,2,3,FALSE
2,0,2,2,0.666667,2,3,FALSE
2,0,2,2,0.666667,2,3,FALSE
2,0,2,2,0.666667,2,3,FALSE
7,1,6,0.4,0.458333,0,13.833333,FALSE
6,4,4,0.8,0.4,0,3.5,FALSE
6,4,4,0.8,0.4,0,3.5,FALSE
2,0,2,0.825,0.4,0,24.666667,TRUE
9,4,7,0.75,0.4,0,7,TRUE
6,2,4,2,1,0,0,FALSE
3,0,3,2,0.533333,0,4.666667,FALSE
3,0,3,2,0.533333,0,4.666667,FALSE
3,0,3,2,0.533333,0,4.666667,FALSE
5,1,4,2,0.666667,0,5.4,FALSE
6,4,4,0.875,0.4,0,6,TRUE
8,8,0,2,1,0,0,FALSE
2,1,2,2,0.555556,0,0,FALSE
10,4,8,2,0.371429,2,5.4,FALSE
0,0,0,2,0.5,0,11.5,FALSE
1,1,0,0.333333,0.625,0,4.5,FALSE
10,6,6,2,0.4,2,5.2,FALSE
7,1,6,0.333333,0.541667,0,30.25,FALSE
11,5,8,2,0.4,2,11.4,FALSE
7,1,6,0.166667,0.5,0,22,FALSE
2,0,2,2,0.666667,0,4,FALSE
2,0,2,2,0.666667,0,4,FALSE
9,4,7,2,0.416667,1,32.25,FALSE
9,5,6,2,0.4,2,6.8,FALSE
5,4,3,2,0.533333,0,4.666667,FALSE
5,4,3,2,0.533333,0,4.666667,FALSE
5,4,3,2,0.533333,0,4.666667,FALSE
8,7,1,2,1,0,0,FALSE
7,7,0,2,1,0,0,FALSE
9,4,7,2,0.392857,0,4.75,TRUE
6,1,5,2,0.5,0,7.5,FALSE
2,0,2,0.95,0.466667,0,16.666667,FALSE
3,2,1,2,1,0,0,FALSE
2,2,0,2,1,0,0,FALSE
4,2,2,2,0.5,0,0,FALSE
6,2,4,1.5,0.583333,0,0,TRUE
7,4,5,2,0.392857,0,6,TRUE
9,6,3,2,0.933333,0,0,TRUE
6,6,0,2,0.5,0,0,FALSE
6,4,4,2,0.416667,0,4,FALSE
2,0,2,2,0.666667,0,2,FALSE
4,3,1,2,1,0,0,FALSE
6,5,1,2,1,0,0,FALSE
7,4,4,2,0.533333,1,4.333333,FALSE
7,4,4,2,0.533333,1,4.333333,FALSE
5,5,1,2,0.75,0,0,FALSE
5,4,1,2,1,0,0,FALSE
5,4,1,2,1,0,0,FALSE
5,4,1,2,1,0,0,FALSE
9,8,1,2,0.666667,0,0,FALSE
10,4,8,2,0.392857,1,8.25,FALSE
5,5,0,2,1,0,0,FALSE
3,1,2,2,0.666667,0,12.666667,FALSE
4,0,4,2,0.5,0,5,FALSE
8,7,1,2,0.625,0,0,TRUE
11,4,9,2,0.4,1,25,TRUE
11,4,9,2,0.4,1,25,TRUE
11,4,9,2,0.4,1,24.8,TRUE
11,4,9,2,0.4,1,24.8,TRUE
9,5,6,2,0.4,1,9.6,FALSE
9,5,6,2,0.4,1,9.6,FALSE
8,4,6,2,0.416667,1,15.75,FALSE
4,2,2,2,0.555556,0,0,FALSE
8,4,6,2,0.416667,1,9.75,FALSE
4,2,2,2,0.666667,0,0,FALSE
6,6,0,2,0.666667,0,0,FALSE
6,6,0,2,0.666667,0,0,FALSE
3,2,1,2,0.833333,0,0,FALSE
