dit,cbo,rfc,ca,moa,ic,max_cc,buggy
2,12.228951,15.070242,12.312598,1.841875,0,1.397993,TRUE
1,2.315781,29.555102,1,0,0,9.621075,TRUE
1.960614,17.786882,66.14888,10.221757,1.22738,0.094364,8,TRUE
5,2,34,0,0,1,1,FALSE
2,4,5,0,0,0,0,FALSE
1,1,20,1,1,0,1,FALSE
1,3,32,2,1,0,14,FALSE
3,3,13,1,0,1,10,FALSE
1,8,70,5,0,0,5,FALSE
1,0,39,0,0,0,6,FALSE
2,16,65,1,1,0,10,FALSE
2.583513,11.743702,29.354413,1.576495,0,1.470418,1,TRUE
1.585724,10.666207,66.257812,1.412772,2.957659,0.128296,4.404768,TRUE
1,16,13,14,0,0,1,FALSE
1,11,29,10,0,0,7,FALSE
1,15,2,15,0,0,1,FALSE
1,0,20,0,0,0,3,FALSE
1,14.698177,76.317516,12.312452,1.948246,0,8.702695,TRUE
1,12.603407,77.87218,9.950529,1.632484,0,11.598909,TRUE
1,16,11,15,0,0,1,FALSE
1.030204,3.221182,16.023259,1.646054,0.909077,0.907209,2.078155,TRUE
1,17,6,15,0,0,1,FALSE
4,4,12,4,0,1,4,FALSE
2,4,21,1,1,1,6,FALSE
1,13.613662,48.518447,2.232495,0,0,2.542993,TRUE
1,6,33,0,4,0,11,FALSE
5,2,10,0,0,1,1,FALSE
5,2,11,0,0,1,1,FALSE
5,2,12,0,0,1,1,FALSE
1,11,37,6,0,0,7,FALSE
2.967874,11.67583,29.656847,1.279847,0,1.034993,1,TRUE
2,9,11,6,4,0,2,FALSE
2,0,32,0,0,1,3,FALSE
5,2,13,0,0,1,1,FALSE
5,2,13,0,0,1,1,FALSE
5,2,13,0,0,1,1,FALSE
5,2,13,0,0,1,1,FALSE
2,6,33,1,1,1,1,FALSE
1,12.371396,51.883054,6.368682,4.053437,0,11.361657,TRUE
1,1,17,0,0,0,1,FALSE
5,1,7,1,0,1,1,FALSE
1,12,17,10,0,0,1,FALSE
5,2,25,0,0,1,1,FALSE
3,12,66,0,1,0,11,FALSE
1.346081,16.245794,87.009784,4.39194,2.010693,0.000231,9.933356,TRUE
5,2,5,0,0,1,1,FALSE
5,2,5,0,0,1,1,FALSE
5,2,5,0,0,1,1,FALSE
1,2,30,1,1,0,6,FALSE
1,2,29,2,0,0,10,FALSE
5,2,16,0,0,1,1,FALSE
5,2,14,0,0,1,1,FALSE
2,0,46,0,1,1,5,FALSE
2,1,25,0,0,1,6,FALSE
5,3,32,0,0,1,1,FALSE
1,2,10,0,2,0,3,FALSE
1,8,23,4,2,0,6,FALSE
1,15,6,14,0,0,1,FALSE
1,19,46,3,3,0,1,FALSE
1,0,17,0,0,0,1,FALSE
2,8,11,3,0,1,1,FALSE
2,5,51,1,2,0,2,FALSE
1,2,10,1,2,0,3,FALSE
2,3,10,0,0,1,1,FALSE
2,3,10,0,0,1,1,FALSE
2,15,55,1,1,0,1,FALSE
1,13,35,1,0,0,1,TRUE
1,0,33,0,0,0,8,FALSE
1,6,64,2,1,0,12,FALSE
1,13,55,5,2,0,11,FALSE
1,4,36,4,0,0,8,FALSE
5,3,23,0,0,1,1,FALSE
2,9,13,9,0,0,2,FALSE
1,5,6,5,0,1,3,FALSE
2,9,53,0,1,0,3,FALSE
4,3,17,3,0,0,6,FALSE
1,2,9,0,1,0,5,FALSE
3,2,6,1,1,1,1,FALSE
3,4,24,1,0,1,1,FALSE
1,1,27,0,0,0,12,FALSE
1,2,9,1,1,0,5,FALSE
1.791603,13.292414,42.810083,0.626504,0.348503,0,2.610745,TRUE
1,0,17,0,0,0,1,FALSE
1.060205,13.900595,35.795487,0.078775,0.593986,0,1.752521,TRUE
5,2,18,0,0,1,1,FALSE
2,4,8,1,0,1,1,FALSE
1,0,33,0,0,0,5,FALSE
2,5,10,2,0,1,1,FALSE
1.440747,12.446088,35,1,0.529367,0,1,TRUE
2,5,19,0,0,0,2,FALSE
2,4,10,1,0,1,1,FALSE
1,1,25,0,1,0,3,FALSE
2,5,19,1,0,0,1,FALSE
2,3,28,1,0,1,1,FALSE
1,4.330289,11.112603,3.790605,0,0,3.096107,TRUE
2,0,43,0,0,1,6,FALSE
1.276372,8.598552,21.933191,0.349307,1,0,3,TRUE
1,20,72,6,3,0,4,FALSE
1,8,47,3,0,0,13,FALSE
1.173136,15.900285,47.011338,1.991266,0.146167,0,1.553344,TRUE
1,6,32,3,0,0,7,FALSE
3,5,6,0,0,1,1,FALSE
1,14,29,11,2,0,5,FALSE
1,2,24,1,1,0,5,FALSE
2,6,9,2,0,1,1,FALSE
3,4,27,1,3,1,3,FALSE
1,16,49,4,0,0,3,TRUE
2,3,27,1,0,1,1,FALSE
1,3,13,1,0,0,6,TRUE
1,7,15,2,4,0,1,FALSE
2,13.036921,44.521005,0,1,0,1.715705,TRUE
1,1,22,1,0,0,5,FALSE
1,3,11,2,0,0,8,FALSE
1,11.927339,49.284632,6.571647,3.288173,0,13.547837,TRUE
3,6,35,1,3,1,3,FALSE
2,0,4,0,3,0,1,FALSE
3,4,29,1,0,1,6,FALSE
1,16,40,12,1,0,9,FALSE
1,12,25,12,1,0,5,FALSE
1,16,48,4,0,0,1,FALSE
2,9,38,0,1,0,3,FALSE
1,1,7,1,0,0,1,FALSE
2,3,32,3,2,0,2,FALSE
1,1,10,0,0,0,1,FALSE
1,2,31,2,0,0,13,FALSE
2,0,37,0,0,0,2,FALSE
1.383287,12.162846,35,1,1.725449,0,1,TRUE
1.661721,15.11804,45.225708,0.00715,0.685575,0,3,TRUE
2,4,27,1,1,1,3,FALSE
1,6,23,2,4,0,2,FALSE
2,10,61,0,1,0,3,FALSE
2,2,4,0,0,0,0,FALSE
2,2,4,0,0,0,0,FALSE
1,3,5,1,2,0,1,FALSE
4,0,8,0,1,0,2,FALSE
2,3,8,1,0,1,1,FALSE
2,5,8,0,0,0,1,FALSE
1,1,17,0,0,0,1,FALSE
2,12.265135,44.928764,0,1,0,2.173291,TRUE
1,6,15,6,0,0,1,FALSE
2,10,55,0,1,0,3,FALSE
3,4,7,1,0,1,1,FALSE
3,4,7,1,0,1,1,FALSE
2,11,41,0,1,0,1,TRUE
1,12,1,10,0,0,1,FALSE
2,2,20,1,0,1,1,FALSE
1,6,18,1,2,0,11,FALSE
1,13,11,11,0,0,1,FALSE
2,6,20,1,1,0,6,FALSE
1,1,9,1,0,0,1,FALSE
1,5.062017,4.764099,2.337768,0.832742,0,0.890004,TRUE
2,14,45,0,1,0,3,TRUE
1,3,15,1,0,0,1,FALSE
1,1,13,1,2,0,7,FALSE
2,9,10,8,0,0,3,FALSE
3,3,10,3,0,1,1,FALSE
4,0,8,0,0,0,0,FALSE
4,0,8,0,0,0,0,FALSE
1,5,38,4,0,0,12,FALSE
2,9,34,0,2,0,1,FALSE
3,4,32,2,0,0,1,FALSE
1,7,38,5,1,0,4,FALSE
2,7,8,3,0,0,1,FALSE
1,14,38,7,3,0,1,FALSE
2,12,6,11,1,0,1,FALSE
4,0,4,0,0,0,0,FALSE
1,5,75,0,1,0,7,FALSE
1,7,21,2,3,0,1,FALSE
3,4,27,0,0,1,1,FALSE
1.158787,14.952188,46.694766,1.897476,0.809488,0,2.687788,TRUE
2,3,11,2,1,1,1,FALSE
2,3,20,3,0,0,3,FALSE
1,7,24,7,0,0,4,FALSE
1,0.97943,7.406436,4.530078,0,0,0.306289,TRUE
3,1,15,1,0,0,1,FALSE
1,0,15,0,0,0,1,FALSE
4,5,5,1,0,0,1,FALSE
4,5,5,1,0,0,1,FALSE
4,5,5,1,0,0,1,FALSE
4,5,5,1,0,0,1,FALSE
4,5,5,1,0,0,1,FALSE
1,2,13,1,1,0,5,FALSE
1,4,22,4,0,0,1,FALSE
1,2,13,0,0,0,6,FALSE
2,2,4,2,0,0,2,FALSE
2,12.073615,43.340557,0,1,0,2.335886,TRUE
1.328619,4.367032,29.842375,1.337544,0.918773,0.050178,1.221516,TRUE
1,7,60,1,1,0,11,FALSE
4,2,4,1,0,0,0,TRUE
1.76043,16.416251,88.914408,3.873426,2.709944,0.03829,9.720872,TRUE
4,3,3,1,0,0,1,FALSE
4,3,3,1,0,0,1,FALSE
1,12,11,10,0,0,1,FALSE
2,1,2,0,0,0,0,FALSE
3,3,30,0,1,1,1,FALSE
1,2,5,1,1,0,1,FALSE
1,5,22,1,1,0,4,FALSE
1,4,28,2,0,0,7,FALSE
1,9,36,1,0,0,1,FALSE
1,10,1,9,0,0,1,FALSE
1,2,21,2,0,0,7,FALSE
2,2,4,1,0,0,1,FALSE
2,2,4,1,0,0,1,FALSE
2,2,4,1,0,0,1,FALSE
2,4,23,1,0,1,1,FALSE
2,4,23,1,0,1,1,FALSE
2,4,23,1,0,1,1,FALSE
1,5,16,1,0,0,5,FALSE
2.649923,2.339622,8.283046,1.875197,0.512908,0,0.302198,TRUE
2,12,35,1,2,0,1,TRUE
2,9,13,8,0,0,5,FALSE
2,9,33,0,1,0,3,FALSE
1,2,23,1,1,0,2,FALSE
2,0,20,0,2,0,2,FALSE
2,10,15,1,0,0,1,FALSE
1,2.829599,22.312318,1,1,0,2.397088,TRUE
1,2,28,1,1,0,2,TRUE
3,2,22,1,1,1,2,FALSE
3,3,24,1,0,1,3,FALSE
1,5,25,0,1,0,7,FALSE
2.626597,12.211169,27.744048,0.697518,0,0.161886,1,TRUE
2,7,33,2,1,0,8,FALSE
1,0,8,0,0,0,0,FALSE
1.641301,1.229383,3.473066,0.834243,0,0,0,TRUE
2,3,8,3,0,0,3,FALSE
2.831409,8.989939,22.097622,0.481513,0.206832,0.550152,2.942785,TRUE
1,11,7,10,1,0,1,FALSE
1,3,27,1,0,0,6,FALSE
2,2,21,1,1,0,3,FALSE
3,3,24,0,1,1,1,FALSE
1,1,16,1,0,0,5,FALSE
1,8,16,8,0,0,1,FALSE
3,2,11,1,1,1,1,FALSE
1,1,15,0,0,0,1,FALSE
2,2,7,2,0,0,3,FALSE
1,5,15,5,1,0,1,FALSE
1,5,16,1,0,0,1,FALSE
1,16,32,5,2,0,2,FALSE
2,0,35,0,0,0,6,FALSE
2,8,13,1,1,0,1,FALSE
2,2,8,2,0,0,3,FALSE
2,2,6,2,0,0,3,FALSE
1,12,49,3,2,0,5,FALSE
4,4,5,1,0,1,1,FALSE
4,4,5,1,0,1,1,FALSE
4,4,5,1,0,1,1,FALSE
4,4,5,1,0,1,1,FALSE
3,8,29,2,0,0,1,FALSE
3,4,2,4,0,0,0,FALSE
1,2,11,0,0,0,3,FALSE
4,4,6,1,0,1,1,FALSE
4,4,6,1,0,1,1,FALSE
1,1,7,1,0,0,1,FALSE
4,4,6,1,0,1,1,FALSE
4,4,6,1,0,1,1,FALSE
1,12,8,10,0,0,1,FALSE
1,9,13,9,0,0,1,FALSE
1,10,43,3,3,0,3,FALSE
1,3,15,3,0,0,1,FALSE
1,7,9,2,0,0,1,FALSE
3,4,8,1,0,1,1,FALSE
2,2,11,1,0,0,1,FALSE
1,12,6,9,0,0,1,FALSE
3,4,8,1,0,1,1,FALSE
1,1,15,1,0,0,1,FALSE
1,9,18,2,1,0,1,FALSE
1,11,38,0,1,0,3,FALSE
1,3,27,1,0,0,1,FALSE
1,4.026262,12.250418,1.696808,0,0,5.10493,TRUE
2.097467,1.989806,3.958505,0.677395,0,0,0,TRUE
3,2,4,2,0,0,0,FALSE
2,6,19,0,0,0,1,FALSE
1,2,7,2,0,0,1,FALSE
2,2,12,1,0,0,1,FALSE
1,0,7,0,1,0,1,FALSE
3,2,8,2,1,0,1,FALSE
2,8,25,6,0,0,2,FALSE
1,1,14,0,0,0,1,FALSE
1,1,14,0,0,0,1,FALSE
1,6,20,2,3,0,1,FALSE
1.803455,6.099284,24.594279,1,1.993251,0,2.70614,TRUE
1,4,35,2,2,0,3,FALSE
2,7,22,1,0,0,1,FALSE
1,7,17,0,2,0,3,FALSE
2.970026,2.899971,4,3.64646,0,0,0,TRUE
1,5,17,4,0,0,6,FALSE
1,3,29,0,2,0,6,FALSE
3,1,2,0,0,0,0,FALSE
3,1,2,0,0,0,0,FALSE
1,5,29,2,0,0,1,FALSE
2,3,11,2,0,0,2,FALSE
2,7,19,0,1,0,1,FALSE
2,3,26,1,1,0,3,FALSE
1,1,11,0,0,0,1,FALSE
2,5,13,1,0,0,1,FALSE
2,5,8,1,0,0,1,FALSE
1,5,8,0,0,0,1,FALSE
1,1,5,1,1,0,1,FALSE
2,4,7,1,0,0,1,FALSE
1,11,6,8,0,0,1,FALSE
2.302388,1.137634,3.966779,0.198486,0,0,0,TRUE
3,0,4,0,0,0,1,FALSE
2,5,11,1,0,0,1,FALSE
3,0,4,0,0,0,1,FALSE
1,9,2,9,0,0,1,FALSE
1,6,17,6,0,0,1,FALSE
2,3,15,2,0,0,6,FALSE
2,3,15,2,0,0,6,FALSE
2,3,4,3,1,0,1,FALSE
3,0,7,0,0,0,1,FALSE
1,3,21,2,1,0,2,FALSE
1,3,21,3,0,0,4,FALSE
1,5,7,4,1,0,0,FALSE
1,0,12,0,2,0,4,FALSE
1,10,17,2,1,0,1,FALSE
1,3,11,2,0,0,1,FALSE
1,8,6,7,1,0,2,FALSE
1,8,19,8,1,0,4,FALSE
1,3.35272,7.951095,3.0844,0,0,1.95384,TRUE
3,3,8,1,0,0,2,FALSE
1,4,4,4,2,0,2,FALSE
2,2,8,1,2,0,3,FALSE
2,10,31,5,1,0,3,FALSE
1,3,5,3,0,0,3,FALSE
1,8,37,6,0,0,4,FALSE
1,0,9,0,0,0,1,FALSE
3,5,10,2,0,0,1,FALSE
3,5,10,2,0,0,1,FALSE
1,3,31,0,1,0,3,FALSE
2,1,11,1,0,0,1,FALSE
3,3,8,1,0,0,2,FALSE
1,5,17,1,2,0,1,FALSE
1,3,10,3,0,0,1,FALSE
2,0,20,0,1,0,5,FALSE
1,2.362265,14.556049,0.982675,0.876458,0,0.362094,TRUE
1,2,3,2,0,0,0,FALSE
3,3,3,1,0,0,1,FALSE
1,3,8,1,0,0,1,FALSE
1,1,7,1,0,0,1,FALSE
1,0,16,0,0,0,2,FALSE
1,0,16,0,0,0,2,FALSE
1,0,24,0,0,0,3,FALSE
3,4,4,1,0,0,1,FALSE
2,3,6,1,1,0,1,FALSE
1,5.40743,6.251915,5.558184,0,0,0.817983,TRUE
2,6,17,1,0,0,1,FALSE
1,1,2,1,0,0,0,FALSE
1,9,20,5,1,0,5,FALSE
1.08841,4.319709,7.029658,2.442298,0,0,0.807272,TRUE
3,3,4,1,0,0,1,FALSE
1,6,1,5,0,0,1,FALSE
1,0,10,0,2,0,2,FALSE
1,5,4,4,0,0,0,TRUE
1,4,11,3,0,0,1,FALSE
1,1,11,1,0,0,1,FALSE
1,3,14,1,0,0,5,FALSE
1,2,18,2,1,0,5,FALSE
3,4,9,1,0,0,1,FALSE
1,5,15,1,2,0,6,FALSE
2,0,13,0,1,0,1,FALSE
2,2,10,1,2,0,3,FALSE
1,2,41,1,0,0,4,FALSE
3,5,8,2,0,0,1,FALSE
1,8,26,3,1,0,4,FALSE
1,0,2,0,0,0,0,FALSE
1,3,36,1,1,0,6,FALSE
1,2,2,2,0,0,0,FALSE
1,8,26,7,0,0,5,FALSE
1,0,2,0,0,0,0,FALSE
1,1,10,1,0,0,2,FALSE
1,4,7,1,2,0,2,FALSE
2,8,16,1,1,0,1,FALSE
1,7,10,6,0,0,1,FALSE
1,1,11,1,0,0,3,FALSE
2,6,12,2,1,0,1,FALSE
1,6,11,1,0,0,2,FALSE
1,0,11,0,0,0,1,FALSE
1,5,1,4,0,0,1,FALSE
1,5,1,4,0,0,1,FALSE
1,0,2,0,0,0,0,TRUE
1,0,7,0,0,0,1,FALSE
1,0,7,0,0,0,1,FALSE
1,1,2,1,0,0,0,FALSE
1,4,12,3,0,0,1,FALSE
2,3,9,1,1,0,2,FALSE
1,1,12,0,0,0,1,FALSE
1,0,2,0,0,0,0,FALSE
1,6,14,2,2,0,1,FALSE
1,0,2,0,0,0,0,TRUE
2,6,8,0,0,0,1,FALSE
1,0,2,0,0,0,0,FALSE
1,0,2,0,0,0,0,TRUE
1,0,2,0,0,0,0,FALSE
1,0,2,0,0,0,0,FALSE
1,0,2,0,0,0,0,FALSE
1,0,2,0,0,0,0,FALSE
1,0,2,0,0,0,0,FALSE
1,0,2,0,0,0,0,FALSE
1,0,2,0,0,0,0,FALSE
1,0,2,0,0,0,0,FALSE
1,3.013598,3.104392,3.651923,0,0,0,TRUE
1,6,7,1,0,0,1,FALSE
2,3,4,0,0,0,1,FALSE
1,0,4,0,0,0,0,FALSE
1,0,1,0,0,0,1,FALSE
1,0,1,0,0,0,1,FALSE
1,0,1,0,0,0,1,FALSE
1,0,1,0,0,0,1,FALSE
1,0,1,0,0,0,1,FALSE
1,0,1,0,0,0,1,FALSE
1,0,1,0,0,0,1,FALSE
1,0,1,0,0,0,1,FALSE
1,0,1,0,0,0,1,FALSE
1,0,1,0,0,0,1,FALSE
1,3,7,1,0,0,1,FALSE
1,3,2,3,0,0,0,FALSE
1,0,3,0,0,0,1,FALSE
1,0,3,0,0,0,1,FALSE
1,0,3,0,0,0,1,FALSE
1,2,2,2,0,0,0,FALSE
1,2,10,0,0,0,1,FALSE
2,1,25,0,0,0,2,FALSE
1,2,22,0,1,0,8,FALSE
1,0,2,0,0,0,1,FALSE
1,0,2,0,0,0,1,FALSE
1,0,2,0,0,0,1,FALSE
1,0,2,0,0,0,1,FALSE
1,0,2,0,0,0,1,FALSE
1,0,2,0,0,0,1,FALSE
1,0,2,0,0,0,1,FALSE
1,7,9,7,0,0,1,TRUE
1.255396,1.111347,3.232568,0.894993,0,0,0,TRUE
1.132545,4.629803,11.550057,6.664643,0,0,1.92884,TRUE
1,2,2,2,0,0,0,FALSE
1,4,14,2,0,0,4,FALSE
1,3,15,1,1,0,3,TRUE
1,3,1,3,0,0,1,FALSE
1,1,1,1,0,0,1,FALSE
1,5,36,5,1,0,8,FALSE
1,2,4,2,0,0,0,FALSE
1,1,6,0,0,0,1,FALSE
1,1,8,0,0,0,1,FALSE
1,2,11,1,1,0,3,FALSE
1,2,1,2,0,0,1,FALSE
1,1,7,1,0,0,1,FALSE
1,2,5,0,1,0,1,FALSE
1,0,8,0,0,0,1,FALSE
1,7,3,7,0,0,1,FALSE
1,5,6,1,0,0,1,FALSE
1,4,14,1,0,0,1,FALSE
1,9,20,8,1,0,4,FALSE
1,0,5,0,0,0,1,FALSE
1,0,5,0,0,0,1,FALSE
1,0,6,0,0,0,1,FALSE
1,0,4,0,0,0,1,FALSE
1,3,14,0,1,0,3,FALSE
1,2,31,1,0,0,5,FALSE
1,0,14,0,0,0,2,FALSE
1,2,19,0,1,0,6,FALSE
1,1,15,0,0,0,1,FALSE
1,0,6,0,0,0,1,FALSE
1,0,7,0,0,0,1,FALSE
1,6,21,2,2,0,1,FALSE
1,3,15,1,0,0,1,FALSE
1,2,6,1,0,0,1,FALSE
1,0,5,0,0,0,1,FALSE
1,0,6,0,0,0,1,FALSE
1,0,3,0,0,0,1,FALSE
2.389681,4.076316,4,1.502562,0,0,0,TRUE
1,1.293175,7.703461,1.671057,0.459619,0,0.304123,TRUE
1,4,12,3,0,0,1,FALSE
1,0,17,0,0,0,3,FALSE
1,1,10,0,0,0,1,FALSE
1.908674,2.252838,15.683043,1,0,0,2.951766,TRUE
1,3,6,3,0,0,3,FALSE
1,2,13,1,1,0,2,FALSE
1,6,6,1,0,0,1,FALSE
1,0,5,0,1,0,1,FALSE
1,7,22,3,2,0,1,FALSE
1,5.444986,7.631505,2.839626,0.513797,0,0.768807,TRUE
1.470231,8.354223,27.827466,1,1.271069,0,1.95939,TRUE
1,4,18,1,2,0,3,FALSE
1,3,20,3,0,0,3,FALSE
1,5.931936,8.356594,5.174056,0,0,0.499634,TRUE
1,6,13,2,1,0,1,FALSE
2,0,4,0,0,0,1,FALSE
1,6,4,5,0,0,1,FALSE
1,3,15,3,0,0,2,FALSE
1,2,10,1,0,0,2,FALSE
1,0,5,0,0,0,1,FALSE
1,5,9,4,0,0,1,FALSE
2,2,16,1,0,0,2,TRUE
2,5,10,4,1,0,1,FALSE
1.528954,5.901679,15.540087,1.187599,0.207418,0,1.287398,TRUE
1,2,18,2,1,0,1,FALSE
1,2,19,0,0,0,4,FALSE
1,5,16,4,0,0,2,FALSE
1,5,18,1,0,0,4,FALSE
1.381157,3.347331,13.146685,4.845555,0,0,1.818999,TRUE
1,3,12,1,0,0,4,FALSE
2,1,11,1,0,0,1,FALSE
2,7,13,3,0,0,2,FALSE
1,1,6,1,0,0,2,FALSE
1,4,18,1,1,0,4,FALSE
1,4,20,3,0,0,1,FALSE
1,6,34,2,2,0,4,FALSE
1,3,15,3,0,0,4,FALSE
2,4,10,3,1,0,1,FALSE
1,2,3,1,0,0,1,FALSE
1,5,8,5,0,0,1,FALSE
1,0,3,0,0,0,1,FALSE
1,1,11,1,0,0,1,FALSE
2,6,28,1,1,0,5,FALSE
1,3,21,2,1,0,3,FALSE
1,1,13,1,0,0,1,FALSE
1,1,4,1,0,0,1,FALSE
1,6,15,2,1,0,1,TRUE
1,5,21,1,0,0,1,FALSE
1,0,2,0,0,0,1,FALSE
1,0,2,0,0,0,1,FALSE
1,0,2,0,0,0,1,FALSE
1,5,2,3,0,0,1,FALSE
1,2,11,0,0,0,3,FALSE
1,3,4,3,0,0,1,FALSE
1,2,5,0,0,0,1,FALSE
1,2,5,0,0,0,1,FALSE
1,2,8,2,0,0,1,FALSE
1,0,6,0,0,0,1,FALSE
1,0,4,0,0,0,1,FALSE
1,0,4,0,0,0,1,FALSE
1,4,2,3,0,0,1,FALSE
1,3,11,0,0,0,2,FALSE
1,3,10,0,0,0,1,FALSE
1,3,2,2,0,0,1,FALSE
1,4,4,2,0,0,1,FALSE
1,1,3,1,0,0,1,FALSE
1,2,4,2,0,0,1,FALSE
1,2,5,1,0,0,2,FALSE
