wmc,cbo,lcom,ca,ce,npm,lcom3,loc,dam,amc,max_cc,avg_cc,buggy
8.846348,25.532906,41.142276,14.443117,0.070177,8.863488,2,8.302081,0,0,1,1,TRUE
7,2,21,1,1,7,2,67,0,8.571429,2,1,FALSE
13.754115,12.701632,14.272948,0.789159,0.66587,12.5451,0.801435,439.769041,1,28.92538,5.347746,2.489352,TRUE
8.218744,25.31462,26.317746,11.657996,11.267344,8.243595,1.884469,83.794282,0.68173,7.077242,1.614393,1.046415,TRUE
6.123908,6.895094,13.628943,11.777405,11.402958,6.638178,2,5.839064,0,0,1,1,TRUE
14.013607,14.096813,24.288692,0.161528,0,13.674567,0.802367,413.909097,1,26.188606,4.028137,1.186478,TRUE
9.245875,11.044974,52.523076,3.239353,0.136588,4.545955,0.835763,406.332777,0.921797,39.189404,1.081035,0.791531,TRUE
21,7,154,5,2,21,0.905,141,1,5.238095,1,0.9524,FALSE
4,11,4,8,3,2,0.666667,77,0,18,4,1.75,FALSE
5,4,0,0,4,4,0.166667,144,1,27.2,5,2.4,FALSE
3,3,3,1,2,3,2,15,0,4,1,0.6667,FALSE
7.890883,8.635488,3.105558,2.929499,2.199446,4.293324,0.655647,303.947793,1,55.279337,1.684739,0.920973,TRUE
8,11,18,0,0,7,0.666667,149,1,17.25,2,1,FALSE
11,28.759819,30.798375,26.267337,5.169483,10.680228,1.143668,101.642715,0.401562,5.817753,1.693898,1.0366,TRUE
9,7,0,1,7,9,0,228,1,24.222222,3,2.1111,FALSE
13,11,46,0,0,10,0.783333,267,1,19.153846,8,1.5385,FALSE
5,17,6,15,2,5,0.75,25,1,3.6,1,0.8,FALSE
14.928865,18.667316,36.045198,2.583335,12.330135,13.08462,0.911366,176.252042,0.510907,10.496445,1,0.897809,TRUE
10.495966,10.307527,43.823764,6.956167,4.608112,5.322666,0.750542,304.603282,0.849667,37.059029,2.900337,1.067811,TRUE
6,5,15,1,4,6,2,53,0,7.833333,2,1.3333,FALSE
2,3,0,1,2,1,0,15,1,6,0,0,FALSE
2,3,0,1,2,1,0,15,1,6,0,0,FALSE
1,14,0,13,1,1,2,4,0,3,0,0,FALSE
6.779796,10.26975,25.126086,7.468103,4.646936,5.42738,0.699595,300.154403,0.874104,51.990204,4.510587,0.829529,TRUE
8,18,20,17,1,8,0.464286,141,1,16.125,6,1.625,FALSE
5.253316,10.163447,13.602476,6.792832,5.284337,5.903229,0.932336,301.597153,0.50637,54.282761,5.271168,1.255376,TRUE
13,16,46,14,3,12,0.736111,243,1,17.230769,6,1.6154,FALSE
3,8,1,2,6,3,0,155,1,50,4,2,FALSE
6.44058,10.139919,22.014093,6.23577,3.532036,7.598135,0.928122,298.590077,0.864994,45.417228,3.144025,1.387773,TRUE
11,11,49,8,3,8,0.95,279,0.5,23.636364,8,1.5455,TRUE
8,16,16,2,0,5,0.666667,336,1,40.625,2,1,FALSE
19,6,75,1,6,18,0.805556,636,1,32.157895,6,2.3684,FALSE
13.869841,12.444327,48.242,3.579972,0,9.185624,0.742244,408.500102,1,28.170634,5.330515,1.790927,TRUE
2,5,0,3,2,2,0,14,1,5.5,1,0.5,FALSE
4,22,6,22,0,3,2,72,0,17,2,1.5,FALSE
6,27,15,26,2,6,2,6,0,0,1,1,FALSE
16,8,68,0,0,16,0.847619,175,1,9.5,1,0.9375,TRUE
1,4,0,1,3,1,2,11,0.5,8,0,0,FALSE
2,24,1,24,0,2,2,2,0,0,1,1,FALSE
11.518894,9.523741,22.811369,5.161346,2.199618,11.699712,0.744362,122.618473,1,8.734081,1.911819,1.075386,TRUE
6,6,0,1,0,5,0.3,165,1,26.166667,3,1.8333,FALSE
3,11,3,0,11,3,2,101,0,32.666667,2,1.3333,FALSE
3,9,0,1,8,2,0,125,1,39.666667,1,0.6667,FALSE
8,10,28,5,5,7,2,130,0,15.25,5,2.625,FALSE
12,10,0,1,10,7,0.545455,444,1,35.75,6,2.6667,TRUE
4,2,6,2,0,4,1.333333,21,1,4,0,0,FALSE
12,6,20,3,5,9,1.012539,360,1,26.583333,6,2.0833,FALSE
13.208064,8,46.607141,0,0,14.552698,0.839599,127.995954,1,8.965392,1,0.935178,TRUE
3,3,3,0,0,1,1,18,0,4.666667,1,0.3333,FALSE
5,1,10,1,0,3,1.25,103,1,19.2,2,1,FALSE
15,13,57,0,0,14,0.821429,411,1,26,5,1.2,TRUE
9,19,34,8,13,5,0.9375,178,0.5,18.555556,1,0.7778,TRUE
6,9,3,6,3,5,0.7,52,0.5,7,1,0.6667,FALSE
4,4,0,1,0,3,0.333333,41,1,9,1,0.75,FALSE
6,6,13,2,4,5,0.2,227,1,36.666667,1,0.6667,FALSE
11.281379,11.780356,32.947197,2.211712,11.24786,11.731341,0.909501,130.979171,0.927022,9.823043,1,0.877872,TRUE
10,9,15,0,0,8,0.694444,197,1,18.3,7,1.6,FALSE
7.876634,9.641503,19.292896,2.939732,7,5.678217,1.047797,481.962777,0.87594,55.656851,2.430195,0.78948,TRUE
12.860416,15.53318,63.324182,2.546546,0.8341,15.885048,0.934945,176.222755,0.947339,10.355556,1,0.831823,TRUE
13.757372,10.976828,31.008356,1.209671,6.464001,7.055488,1.038618,421.362569,1,35.29804,4.294067,1.264883,TRUE
16.711082,12.601406,66.366379,1.515448,5.770086,7.892734,0.815887,378.357,1,19.076397,5,1.254135,TRUE
2,19,1,19,0,2,2,2,0,0,1,1,FALSE
13,13,78,11,2,12,1.055556,24,0,0.615385,1,0.9231,FALSE
11,4,13,1,0,11,0.6,68,0.5,5,1,0.8182,FALSE
7,10,19,4,7,4,0.916667,348,0.5,48.428571,1,0.7143,TRUE
11.473965,13.768167,27.281875,3.748312,3.947221,10.478419,0.7597,112.574985,1,8.717737,1.710531,0.936158,TRUE
3,10,3,7,3,1,1,18,0,4.666667,1,0.3333,FALSE
12,8,30,0,0,12,0.8,124,1,8.916667,1,0.9167,TRUE
2,8,0,5,3,2,0,14,1,5.5,1,0.5,FALSE
3,5,3,2,3,1,1,18,0,4.666667,1,0.3333,FALSE
2,4,1,4,1,1,1,8,0,2.5,1,0.5,FALSE
6.386042,5.606471,8.675185,2.642812,0.341358,9.125617,0.742891,112.817664,1,11.041364,1.385213,0.955713,TRUE
3,6,3,3,3,1,1,18,0,4.666667,1,0.3333,FALSE
7.465733,14.402615,18.098184,10.360866,12.780448,6.786083,1.441146,24.070908,0.102337,8.893211,1.199552,1,TRUE
9.031242,15.05187,15.935247,1.560298,5.398727,4.274815,0.805698,444.322513,0.988633,47.26017,1.780678,0.746523,TRUE
11,12,37,4,0,5,0.7,360,1,31.363636,8,1.8182,TRUE
10.747044,9.248641,24.985593,1.88809,7.854973,6.698514,0.894453,481.33449,1,56.636744,5.870757,1.717884,TRUE
10.645472,14.18592,17.11825,0.053674,0,7.444841,0.795303,436.726461,1,33.889632,4.764727,1.10809,TRUE
3,4,0,1,3,3,0,57,1,17.666667,2,1,FALSE
4,6,0,3,3,4,0.333333,74,1,17,7,2.25,FALSE
8.534386,10.812252,14.252734,3.542183,2.734439,5,0.613982,349.907279,1,54.831505,5.860342,1.630487,TRUE
14.393889,10.317524,89.435458,2.268777,3.862132,5.238322,0.808349,314.559233,0.915149,18.548553,6.519534,1.552365,TRUE
5,13,8,2,11,4,0.625,140,0.5,26.6,1,0.8,FALSE
7.756526,10,16.89028,3.285878,9.002069,5.552459,0.765843,382.838109,0.723587,47.732562,3.698866,1.274223,TRUE
7.844421,6.65401,19.625203,2.693156,4.838637,4.880109,0.797412,303.739609,1,54.324546,1.252091,0.917632,TRUE
7,7,0,0,0,7,0.611111,147,1,19.571429,1,0.8571,FALSE
7.995613,9.093463,19.70368,3.334562,1.288907,4,0.849508,307.34338,0.994241,47.637088,2.861628,0.74718,TRUE
3,7,0,1,6,3,0.833333,87,0.666667,27,1,0.6667,FALSE
6,23,15,22,1,6,2,6,0,0,1,1,FALSE
12,3,0,1,0,11,0.30303,222,1,17,2,1,FALSE
5.890771,3.987529,4.983666,7.285336,2.703669,8.98374,0.551546,105.228714,1,5.677352,1.155295,1.051118,TRUE
5,6,10,4,2,4,2,112,0,21.4,3,1.6,FALSE
7.786001,10.428134,22.246846,5.938493,4.613588,5.740597,0.94918,338.449103,0.5,37.840828,4.190905,0.897528,TRUE
4,6,4,1,5,1,0.666667,27,1,5.5,1,0.5,FALSE
4,7,4,2,5,1,0.666667,27,1,5.5,1,0.5,FALSE
3,5,0,1,4,3,0.833333,40,0.666667,11.333333,1,0.6667,FALSE
4,2,6,1,1,3,1,23,0,4.5,2,0.75,FALSE
4,2,6,1,1,3,1,23,0,4.5,2,0.75,FALSE
4,4,6,3,1,2,1,17,0,3,1,0.5,FALSE
2,2,1,2,0,1,2,49,0,23.5,4,2,FALSE
4,5,6,3,2,3,2,100,0,24,3,2,FALSE
6,6,3,0,0,6,0.8,94,0.5,14,1,0.8333,FALSE
14.312168,13.383061,47.4698,4.827462,1.759703,13.459519,0.628432,117.707708,1,8.564392,1.40484,1.180671,TRUE
13,14,52,10,4,13,0.333333,204,1,14.538462,5,1.2308,FALSE
8,5,6,0,5,6,0.628571,145,1,16.5,6,1.375,FALSE
1,5,0,1,4,1,2,9,0,7,0,0,FALSE
20,8,108,5,3,20,0.809211,188,1,8,1,0.9,FALSE
13,14,24,11,4,12,0.65,298,1,21.538462,4,1.8462,FALSE
17,6,110,2,4,17,0.09375,165,1,8.588235,2,1.0588,FALSE
14.150478,9.47901,56.441304,2.449148,3.887804,4.415227,0.78624,349.425702,1,24.048945,5.945945,1.74548,TRUE
6.532257,16.111728,14.301242,14.951877,4.763193,10.110679,1.249944,66.689601,0.075482,5.099721,1.194628,1,TRUE
13,4,68,0,0,12,0.833333,194,1,13.538462,3,1.0769,FALSE
1,4,0,1,3,1,2,9,0,7,0,0,FALSE
10,10,3,1,0,9,0.666667,207,1,19.3,2,1,FALSE
1,3,0,3,0,1,2,5,0,4,0,0,FALSE
8.253315,12.47536,12.172017,1.337771,5.506902,4.90909,0.782501,378.16339,0.795571,47.540398,1.584693,0.827585,TRUE
14,10,0,2,8,13,0.661538,225,1,14.714286,4,1.7143,FALSE
1,3,0,1,2,1,2,8,0,6,0,0,FALSE
10.897207,12.807144,10.404404,9.291029,2.821513,5.533769,0.728285,97.51988,1,5.585768,1.376261,0.993641,TRUE
5,3,10,1,2,4,2,50,0,9,1,0.6,FALSE
6,8,0,0,0,6,0.4,143,1,22.5,1,0.8333,FALSE
5,14,0,11,3,5,0,75,1,13.8,2,1,FALSE
11,2,17,2,0,11,0.725,95,1,7.272727,2,0.9091,FALSE
5,7,4,1,6,3,0,158,1,30.2,4,1.8,FALSE
5,13,4,3,10,3,0.25,149,1,28.6,5,1.8,FALSE
8.359761,10.431058,0.586341,3.835528,5.572154,5,0.515895,322.717391,1,47.968089,3.128863,0.837433,TRUE
2,4,1,2,2,2,2,10,0,4,1,0.5,FALSE
2,3,0,1,2,2,1,14,0.5,5,1,0.5,FALSE
12,19,66,13,6,12,2,12,0,0,1,1,FALSE
2,3,0,1,2,2,0,26,1,11.5,2,1,FALSE
14,10,65,1,0,13,0.355769,207,1,13.214286,3,1.1429,FALSE
5,4,2,1,3,5,0.85,61,0.8,10.2,1,0.8,FALSE
11,7,37,7,0,10,0.625,132,1,10.636364,3,1.4545,FALSE
3,16,3,15,1,3,2,3,0,0,1,1,FALSE
6,21,15,17,5,6,2,6,0,0,1,1,FALSE
9,17,22,9,8,7,0.5,127,1,12.888889,2,1,FALSE
5,3,6,0,3,5,0.75,24,1,3.4,1,0.8,FALSE
2,1,1,0,1,2,2,10,0,4,1,0.5,FALSE
7.250566,18.92768,26.114092,10.858976,11.839869,6.378638,0.913126,47.364862,0.578363,1.729547,1.113564,1,TRUE
17,6,90,2,5,17,0.8125,167,1,8.470588,1,0.8824,FALSE
2,5,1,1,4,2,2,18,0,8,1,0.5,FALSE
3,20,3,19,2,3,2,3,0,0,1,1,FALSE
2,6,1,2,4,2,2,18,0,8,1,0.5,FALSE
4.665939,12.539918,15.604698,7.033559,3.448115,7.498974,1.074224,13.382539,0.14939,2.783236,1.652079,1.137802,TRUE
8,6,20,0,6,4,0.5,221,1,26.375,5,2,FALSE
10.865758,17.916678,19.037371,9.613626,7.61146,6.645596,0.59515,146.097503,0.522288,15.227109,1.35526,0.986918,TRUE
2,2,1,1,1,2,2,11,0,4.5,1,0.5,FALSE
3,7,0,1,6,3,0.833333,64,0.666667,19.333333,1,0.6667,FALSE
9,4,28,3,1,9,0.875,60,1,5.222222,2,1.1111,FALSE
7,5,9,3,4,5,0.733333,110,1,14,3,1,FALSE
5,8,0,1,7,4,0.625,127,1,23.6,4,1.6,FALSE
15,12,67,9,3,15,0.867347,104,1,5.466667,1,0.9333,FALSE
8,16,28,10,6,8,2,8,0,0,1,1,FALSE
4,2,0,1,1,4,0.333333,35,1,7.25,3,1.25,FALSE
4,2,0,1,1,4,0.333333,35,1,7.25,3,1.25,FALSE
3,2,1,2,0,1,0.5,21,1,5.666667,2,0.6667,FALSE
8.678386,6.856646,25.817392,3.58352,0.170644,4.306023,0.756308,336.277918,1,32.428225,6.859377,1.708256,TRUE
6,11,15,10,2,6,2,6,0,0,1,1,FALSE
14,12,35,5,7,11,0.153846,230,1,15.357143,3,1.1429,FALSE
2,4,1,1,3,1,2,8,0,3,1,0.5,FALSE
4,3,6,1,2,4,2,48,0,11,2,1,FALSE
4,7,0,5,2,2,0.666667,58,0.5,13,2,0.75,FALSE
2,4,0,1,3,2,1.6,30,0.4,11.5,1,0.5,FALSE
4,4,0,1,3,4,0.333333,31,1,6.25,2,1,FALSE
2,4,0,1,3,2,1,54,0.5,25,1,0.5,FALSE
7,7,15,1,6,2,0.75,288,0.5,39.857143,5,1.5714,FALSE
5,2,8,1,1,5,0.5,97,1,18.2,1,0.6,FALSE
2,5,1,2,3,1,2,8,0,3,1,0.5,FALSE
11.76423,10.35272,8.029191,3.0844,5.715364,6.716581,0.554379,414.613554,1,35.509641,7.34872,2.200817,TRUE
3,2,0,1,1,3,0,22,1,6,2,1,FALSE
10.298723,6.968149,11.949368,9.903304,3.531984,9.300351,0.552612,106.570296,1,12.432026,2,1.178259,TRUE
10,2,25,1,0,10,0.805556,53,1,3.9,1,0.9,FALSE
9.311053,6.700511,11.372404,1.932911,1.590643,5.96459,0.663943,90.966271,1,9.643493,1.549987,0.959015,TRUE
11,4,23,3,1,7,0.766667,215,1,18,3,1.0909,FALSE
8,8,28,3,5,8,2,8,0,0,1,1,FALSE
10,15,45,12,3,10,2,10,0,0,1,1,FALSE
8,3,20,2,1,4,0.809524,303,1,36.5,4,1.25,TRUE
2,4,0,1,3,2,1,21,0.5,8.5,1,0.5,FALSE
5,11,4,8,3,3,0.5,72,1,13.2,1,0.6,FALSE
6,5,0,3,3,4,0.6,84,1,12.5,2,1,TRUE
8,12,0,7,5,8,0,126,1,14.625,1,0.875,FALSE
4,5,4,1,4,2,0.666667,21,1,4,1,0.5,FALSE
1,2,0,2,0,1,2,1,0,0,1,1,FALSE
12,9,54,1,8,10,0.840909,170,1,12.833333,3,1.4167,FALSE
15,9,77,3,7,12,0.666667,286,1,17.866667,2,0.9333,FALSE
4,6,6,6,0,4,2,4,0,0,1,1,TRUE
1,4,0,2,2,1,2,1,0,0,1,1,FALSE
3,2,1,2,0,3,0.5,14,1,3.333333,1,0.6667,FALSE
3,8,0,8,0,3,0.5,20,1,5,1,0.6667,FALSE
12,7,30,2,5,11,0.757576,171,1,12.75,2,1.1667,FALSE
9,3,26,2,1,9,0.85,60,1,5.111111,1,0.8889,FALSE
3,5,3,3,2,3,2,3,0,0,1,1,FALSE
3,11,3,8,3,3,2,3,0,0,1,1,FALSE
1,4,0,3,1,1,2,1,0,0,1,1,FALSE
1,5,0,3,2,1,2,1,0,0,1,1,FALSE
11,7,25,5,2,11,0.8,74,1,5.272727,1,0.9091,FALSE
2,5,1,3,2,2,2,2,0,0,1,1,FALSE
3,10,3,7,3,3,2,3,0,0,1,1,FALSE
4,12,0,12,1,4,0.5,24,1,4.5,1,0.75,FALSE
1,10,0,8,2,1,2,1,0,0,1,1,FALSE
1,5,0,5,1,1,2,1,0,0,1,1,FALSE
1,9,0,8,1,1,2,1,0,0,1,1,FALSE
1,5,0,4,1,1,2,1,0,0,1,1,FALSE
1,6,0,4,2,1,2,1,0,0,1,1,FALSE
1,6,0,4,2,1,2,1,0,0,1,1,FALSE
6,1,3,1,0,6,0.6,34,1,4.333333,1,0.6667,FALSE
2,6,1,4,2,2,2,2,0,0,1,1,FALSE
7,3,15,3,0,6,0.5,51,1,5.857143,1,0.5714,FALSE
1,7,0,5,2,1,2,1,0,0,1,1,FALSE
1,7,0,5,2,1,2,1,0,0,1,1,FALSE
1,8,0,6,2,1,2,1,0,0,1,1,FALSE
1,8,0,6,2,1,2,1,0,0,1,1,FALSE
1,7,0,6,1,1,2,1,0,0,1,1,FALSE
1,7,0,6,1,1,2,1,0,0,1,1,FALSE
11,6,25,4,2,11,0.8,78,1,5.636364,2,1,FALSE
11,6,1,5,2,11,0.45,67,1,4.909091,1,0.9091,FALSE
3,3,3,1,2,3,2,12,0,3,1,0.6667,FALSE
4,2,4,0,2,4,0.666667,24,1,4.75,1,0.75,FALSE
5,2,2,1,1,5,0.75,36,1,5.4,1,0.8,TRUE
8,2,14,2,0,6,0.571429,69,1,7.375,3,1.25,FALSE
2,16,1,14,2,2,2,2,0,0,1,1,FALSE
11,14,17,10,4,10,0.54,107,1,8.272727,2,1.1818,TRUE
7,2,0,1,1,7,0.694444,86,1,10.428571,1,0.8571,FALSE
3,9,3,4,5,3,2,3,0,0,1,1,FALSE
3,3,3,2,1,3,2,3,0,0,1,1,FALSE
3,15,3,14,1,3,2,3,0,0,1,1,FALSE
2,4,1,4,0,2,2,2,0,0,1,1,FALSE
2,3,1,3,0,2,2,2,0,0,1,1,FALSE
2,4,1,2,2,2,2,2,0,0,1,1,FALSE
10,2,23,1,0,9,0.5,88,1,7.2,2,1,FALSE
6,11,0,10,2,6,0.4,44,1,6,1,0.8333,FALSE
5,9,2,3,6,5,0.625,89,1,16.4,2,1.2,FALSE
4,5,0,4,1,4,0.333333,34,1,7,1,0.75,FALSE
5,7,0,5,2,5,0.583333,105,1,19.4,3,1.2,FALSE
8,11,0,9,3,8,0.428571,54,1,5.5,1,0.875,FALSE
2,12,1,11,1,2,2,2,0,0,1,1,FALSE
2,9,1,7,3,2,2,4,0,0,1,1,FALSE
6,3,7,2,2,6,0.5,63,1,9.166667,2,1,FALSE
3,5,3,4,1,3,2,3,0,0,1,1,FALSE
4,9,6,9,0,4,2,4,0,0,1,1,FALSE
5,8,10,8,0,5,2,5,0,0,1,1,FALSE
4.864193,2.599263,5.816689,2.484151,0.068887,4.357089,1.187088,11.961754,0.598539,2.262067,1,0.962675,TRUE
6,6,0,3,3,6,0.4,55,1,7.833333,2,1,FALSE
