cbo,ce,lcom3,dam,cam,ic,cbm,avg_cc,buggy
13,12,0.541667,1,0.35,0,0,1.4615,FALSE
1,1,0.75,1,0.32,0,0,0.8333,FALSE
2,2,0.666667,1,0.5,1,4,0.75,FALSE
7,3,0.583333,1,0.5,1,4,1,FALSE
16,15,0.555556,1,0.481481,0,0,1.4,FALSE
13,12,0.541667,1,0.291667,0,0,1.4615,FALSE
8,2,0.625,1,0.75,1,4,1,FALSE
6,5,0.625,1,0.3125,0,0,1.6,FALSE
17,15,0.5625,1,0.458333,0,0,1.4444,FALSE
12,11,1,0.4,0.75,1,10,1.2,FALSE
15,14,0.5625,1,0.458333,0,0,1.3333,FALSE
11,10,0.541667,1,0.35,0,0,1.3846,FALSE
10.212578,8.06038,1,0.5,0.666667,1,9.99295,0.75,TRUE
10,2,0.571429,1,0.642857,1,4,1.625,FALSE
7,2,1.066667,1,0.666667,1,4,1.25,TRUE
5,2,1.066667,1,0.666667,1,4,1.25,FALSE
5,2,1.066667,1,0.666667,1,4,1.25,FALSE
11,10,1.111362,0.387637,0.529057,1,9,0.75,TRUE
4,3,0.571429,1,0.428571,0,0,1.25,FALSE
5.59296,2,0.8575,1,0.666667,1,2.653013,1.20955,TRUE
13,12,0.545455,1,0.327273,0,0,1.25,FALSE
13,11,0.55,1,0.5,0,0,1.1818,FALSE
5,2,1.066667,1,0.666667,1,4,0.75,TRUE
5,2,1.066667,1,0.666667,1,4,0.75,TRUE
5,2,1.066667,1,0.666667,1,4,0.75,TRUE
5,2,1.066667,1,0.666667,1,4,0.75,TRUE
5,2,1.066667,1,0.666667,1,4,0.75,TRUE
4,3,0.571429,1,0.428571,0,0,1.25,FALSE
5,2,0.666667,1,0.666667,1,4,1.25,FALSE
11,10,0.555556,1,0.444444,0,0,1.7,FALSE
13,12,0.5625,1,0.458333,0,0,1.2222,FALSE
13,12,0.5625,1,0.458333,0,0,1.2222,TRUE
10.834373,9.43211,1.138668,0.344187,0.610715,1,9,0.75,TRUE
11,10,1.066667,0.4,0.5,1,9,0.75,TRUE
11,10,0.545455,1,0.327273,0,0,1.25,FALSE
11,10,1.045029,0.260926,0.666667,1,9.76382,0.75,TRUE
5,4,0.666667,1,0.666667,1,4,1,FALSE
5,2,1,1,0.666667,1,4,1.25,FALSE
14,13,0.5625,1,0.458333,0,0,1.2222,FALSE
3,2,0.888889,1,0.666667,1,4,0.75,FALSE
6,5,0.666667,1,0.555556,1,4,1.5,FALSE
6,5,0.571429,1,0.428571,0,0,1.25,FALSE
9,8,0.5625,1,0.458333,0,0,1.6667,FALSE
15,14,0.5625,1,0.458333,0,0,1.4444,FALSE
15,13,0.5625,1,0.458333,0,0,1.2222,FALSE
11,10,1,0.5,0.666667,1,10,0.75,TRUE
15,14,0.5625,1,0.458333,0,0,1.3333,FALSE
11,10,0.55,1,0.5,0,0,1.3636,FALSE
10.80507,9.199908,1.033524,0.438162,0.666667,1,9.641196,0.75,TRUE
10.431183,9.967937,1.027331,0.494646,0.666667,1,9.932422,0.75,TRUE
12,11,0.5625,1,0.458333,0,0,1.2222,FALSE
14,13,0.555556,1,0.481481,0,0,1.4,FALSE
10.572648,9.05274,1.101235,0.289885,0.666667,1,9,0.75,TRUE
6,5,0.5625,1,0.458333,0,0,1.2222,FALSE
15,13,0.5625,1,0.458333,0,0,1.4444,FALSE
9.692473,8.402028,1.029549,0.430067,0.666667,1,9,0.75,TRUE
10,9,1.113129,0.295,0.666667,1,9,0.75,TRUE
12,11,0.55,1,0.5,0,0,1.1818,FALSE
12,11,0.55,1,0.5,0,0,1.1818,FALSE
12,11,0.55,1,0.5,0,0,1.3636,FALSE
10.162085,9.315059,1.069088,0.494605,0.666667,1,9.671565,0.75,TRUE
11,10,1.066667,0.4,0.666667,1,9,0.75,FALSE
9,8,1,0.5,0.666667,1,9,0.75,TRUE
9.870495,8.048151,1.053312,0.497532,0.666667,1,9,0.75,TRUE
11,10,1.166667,0.25,0.666667,1,9,0.75,TRUE
9.522001,8.639773,1.002609,0.430638,0.666667,1,9,0.75,TRUE
11,10,0.55,1,0.5,0,0,1.2727,TRUE
10,9,1.142857,0.285714,0.666667,1,9,0.75,TRUE
11.545925,10,1.153846,0.291071,0.666667,1,9,0.75,TRUE
10,9,1.066667,0.4,0.666667,1,9,0.75,TRUE
11,10,0.5625,1,0.458333,0,0,1.4444,FALSE
10,8,0.5625,1,0.458333,0,0,1.2222,FALSE
9,8,0.5625,1,0.458333,0,0,1.2222,FALSE
10.122923,9.78519,1.066667,0.4,0.666667,1,9,0.75,TRUE
12,10,1.066667,0.4,0.666667,1,9,0.75,TRUE
11,10,0.5625,1,0.458333,0,0,1.4444,FALSE
9,8,0.5625,1,0.458333,0,0,1.4444,FALSE
10,9,0.5625,1,0.458333,0,0,1.3333,FALSE
