cbo,lcom,ce,npm,loc,avg_cc,buggy
3,0,1,0,0,0,FALSE
2,55,0,11,11,1,FALSE
9,26,8,9,199,1.1667,FALSE
26.491033,115.077923,25.768337,16,547.023274,1.294432,TRUE
8.999613,94.618931,5.658713,13.060227,15.838231,1,TRUE
4,1,1,7,85,1.1429,FALSE
6,3,0,3,3,1,FALSE
9,13,6,5,43,0.8333,FALSE
2,1,2,2,7,0.5,FALSE
7,55,1,14,86,0.8571,FALSE
3.576087,3.106739,2.51121,3.250086,7.421472,1.056552,TRUE
6,153,1,19,94,0.9474,FALSE
3.533831,14.152371,2.206608,3.02228,9.586677,0.889058,TRUE
8,27,8,13,280,0.8571,FALSE
16,154,16,16,389,0.9524,TRUE
2,3,2,2,30,0.3333,FALSE
4,1,1,3,14,0.6667,FALSE
4,1,1,3,14,0.6667,FALSE
4.259011,37.88832,3.903698,7.306612,9.710441,1,TRUE
6,33,6,9,93,0.8,FALSE
3.465968,3.318463,3.750461,3.360956,20.539979,1.079232,TRUE
3.246011,5.191872,1.000465,3.705997,25.625925,1.200023,TRUE
5,0,5,6,105,0.7143,FALSE
16.221304,99.601366,16.657432,16.457969,344.825161,1.000881,TRUE
1,64,1,12,117,1.3846,FALSE
10,55,7,11,11,1,TRUE
4,6,4,4,26,1.25,TRUE
4,3,4,3,27,0.6667,FALSE
8,78,6,13,13,1,FALSE
8,45,2,10,10,1,FALSE
9.733452,121.987992,4.3237,10.725857,18.062006,1,TRUE
6,42,1,13,82,0.9231,FALSE
5,6,5,4,73,0.6,FALSE
6,120,1,17,84,0.9412,FALSE
9,10,4,5,5,1,FALSE
6,1,2,2,2,1,FALSE
3.751359,5.677028,3.715009,3.301486,18.480139,1.19799,TRUE
2,1,2,2,10,0.5,FALSE
3,28,3,8,43,1.125,FALSE
17,97,17,17,277,1.0556,TRUE
3.505793,5.688791,3.770286,3.868064,4.792023,1.038167,TRUE
6,6,2,4,4,1,FALSE
6,0,3,1,1,1,FALSE
6,1,6,9,156,0.8,TRUE
1,1,0,2,20,0.5,FALSE
2,0,1,1,1,1,FALSE
4,0,3,1,1,1,FALSE
8.088006,45.187398,5.919319,10.880109,10.369804,1,TRUE
5.872129,14.758137,1.371006,4.361822,5.160936,1,TRUE
4,0,1,5,30,0.8,FALSE
7.983725,43.490148,5.653313,9.612494,10.852799,1,TRUE
5.384947,23.535299,2.804056,9.677334,9.954225,1,TRUE
3,8,3,3,26,0.6,FALSE
3,0,1,1,1,1,FALSE
3,0,1,1,1,1,FALSE
3,0,1,1,1,1,FALSE
9.220279,53.447221,4.599723,10.293324,10.473896,1,TRUE
2,15,0,6,6,1,FALSE
5,1,2,2,2,1,FALSE
3.834373,17.419601,2.56789,3.813008,13.825366,0.780782,TRUE
5.283006,20.51184,3.42115,4.482674,19.986188,1.020638,TRUE
0,28,0,9,45,0.8889,FALSE
7,13,7,9,121,0.8,FALSE
8,25,8,9,197,1.5,FALSE
6,34.487575,3.115478,9.447761,8.682874,1,TRUE
2,4,2,3,25,0.5,FALSE
3,9,3,5,63,0.8333,FALSE
3,79,0,14,68,0.9286,FALSE
3,17,3,6,61,0.7143,FALSE
2,6,1,5,25,0.8,FALSE
5,4,5,4,29,0.6,FALSE
1,15,1,6,57,1.1429,FALSE
1,15,0,7,34,0.8571,FALSE
3.203715,4.281699,3.700989,3.024813,19.206771,1.127163,TRUE
1,6,0,5,24,0.8,FALSE
6,7,6,6,117,1.1429,FALSE
2,0,1,7,96,1.1429,FALSE
